% Fogale DL Rail Calibration results.
% DL=1, Date=2016-03-10T09:34:44
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=ara
% Comment=
% WPS-Sensor tunnel center: WPS-2D-7CF-014
% WPS-Sensor tunnel end: WPS-2D-7D0-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093524.1 1.1246 5.005537e+00 4.783767e-03 2.494178e+00 -8.181035e+00 -1.860025e-01 -7.737946e+00
093535.7 1.49978 5.005529e+00 4.756196e-03 2.506204e+00 -8.010150e+00 -1.887815e-01 -7.587011e+00
093545.0 1.87478 5.005515e+00 4.748760e-03 2.493579e+00 -7.843368e+00 -2.002826e-01 -7.449485e+00
093554.6 2.24996 5.005523e+00 4.743386e-03 2.504876e+00 -7.678645e+00 -2.326952e-01 -7.302063e+00
093620.8 2.616 5.005535e+00 4.673216e-03 2.515438e+00 -7.563060e+00 -2.869432e-01 -7.172967e+00
093653.2 2.99124 5.005504e+00 4.528886e-03 2.561367e+00 -7.521357e+00 -3.628917e-01 -7.061426e+00
093704.9 3.37571 5.005541e+00 4.357402e-03 2.625158e+00 -7.484005e+00 -4.662703e-01 -6.951773e+00
093714.4 3.74981 5.005503e+00 4.252586e-03 2.651136e+00 -7.415305e+00 -5.863990e-01 -6.816876e+00
093722.9 4.12513 5.005496e+00 4.191958e-03 2.653470e+00 -7.328355e+00 -6.789793e-01 -6.696000e+00
093730.4 4.50018 5.005551e+00 4.155966e-03 2.652439e+00 -7.230607e+00 -7.273219e-01 -6.589707e+00
093741.7 4.87499 5.005545e+00 4.143885e-03 2.663028e+00 -7.082941e+00 -7.568930e-01 -6.460953e+00
093802.9 5.23962 5.005527e+00 4.160873e-03 2.675032e+00 -6.897065e+00 -7.598559e-01 -6.316949e+00
093816.2 5.62516 5.005513e+00 4.184583e-03 2.690621e+00 -6.709424e+00 -7.524985e-01 -6.171600e+00
093827.4 5.9999 5.005515e+00 4.155782e-03 2.672310e+00 -6.572801e+00 -7.348826e-01 -6.058088e+00
093841.2 6.37482 5.005550e+00 4.103481e-03 2.639984e+00 -6.443920e+00 -7.424553e-01 -5.939727e+00
093855.5 6.75026 5.005557e+00 4.068368e-03 2.569571e+00 -6.310089e+00 -7.682800e-01 -5.802453e+00
093903.7 7.12417 5.005537e+00 4.060456e-03 2.472607e+00 -6.164335e+00 -7.949863e-01 -5.670492e+00
093914.3 7.49993 5.005547e+00 4.026985e-03 2.340458e+00 -6.045983e+00 -8.154743e-01 -5.559495e+00
093926.9 7.87422 5.005541e+00 3.998642e-03 2.188512e+00 -5.916167e+00 -8.251792e-01 -5.445231e+00
093938.4 8.24947 5.005507e+00 4.007131e-03 2.086346e+00 -5.758027e+00 -8.257081e-01 -5.307248e+00
093952.1 8.62504 5.005503e+00 4.044634e-03 2.007908e+00 -5.605625e+00 -8.312959e-01 -5.177406e+00
094005.5 9.00022 5.005523e+00 4.025070e-03 1.965816e+00 -5.494017e+00 -8.345961e-01 -5.067942e+00
094018.7 9.37507 5.005544e+00 4.000103e-03 1.966539e+00 -5.383844e+00 -8.359124e-01 -4.951161e+00
094027.4 9.75 5.005527e+00 3.999493e-03 1.998684e+00 -5.249836e+00 -8.366523e-01 -4.819165e+00
094035.2 10.125 5.005527e+00 3.993207e-03 2.049764e+00 -5.113546e+00 -8.215763e-01 -4.696738e+00
094042.7 10.4993 5.005513e+00 3.967498e-03 2.080474e+00 -4.999754e+00 -8.109307e-01 -4.599633e+00
094055.0 10.8737 5.005520e+00 3.972767e-03 2.089727e+00 -4.879215e+00 -8.052322e-01 -4.486071e+00
094106.5 11.25 5.005538e+00 4.008229e-03 2.068047e+00 -4.740613e+00 -8.127082e-01 -4.352656e+00
094115.5 11.6249 5.005528e+00 4.046163e-03 2.031632e+00 -4.606290e+00 -8.175373e-01 -4.233193e+00
094124.4 12 5.005478e+00 4.044257e-03 2.025093e+00 -4.505723e+00 -8.204899e-01 -4.140130e+00
094136.7 12.3746 5.005519e+00 4.030887e-03 2.030805e+00 -4.393518e+00 -8.152523e-01 -4.038240e+00
094145.9 12.7499 5.005532e+00 4.036104e-03 2.042584e+00 -4.260569e+00 -8.145715e-01 -3.912758e+00
094154.4 13.1249 5.005549e+00 4.050949e-03 2.056612e+00 -4.134760e+00 -8.123620e-01 -3.789763e+00
094204.4 13.5001 5.005515e+00 4.058490e-03 2.064661e+00 -4.026216e+00 -8.072437e-01 -3.694070e+00
094216.7 13.8745 5.005465e+00 4.070774e-03 2.044558e+00 -3.914427e+00 -8.078303e-01 -3.592272e+00
094224.3 14.2493 5.005459e+00 4.089456e-03 2.024046e+00 -3.781819e+00 -8.142659e-01 -3.470475e+00
094247.5 14.6151 5.005514e+00 4.112293e-03 2.012748e+00 -3.656635e+00 -8.179014e-01 -3.354479e+00
094259.7 14.9999 5.005487e+00 4.125737e-03 2.027538e+00 -3.556215e+00 -8.093165e-01 -3.259196e+00
094315.4 15.3747 5.005508e+00 4.145464e-03 2.035428e+00 -3.447016e+00 -8.080940e-01 -3.156148e+00
094328.7 15.7493 5.005545e+00 4.183251e-03 2.064183e+00 -3.313806e+00 -8.080799e-01 -3.046013e+00
094340.0 16.1246 5.005534e+00 4.213573e-03 2.062231e+00 -3.196991e+00 -8.143523e-01 -2.924558e+00
094351.2 16.4993 5.005493e+00 4.233697e-03 2.041024e+00 -3.104082e+00 -8.227696e-01 -2.835512e+00
094403.8 16.8747 5.005540e+00 4.268650e-03 2.030343e+00 -3.002957e+00 -8.241588e-01 -2.735022e+00
094416.1 17.2485 5.005522e+00 4.324893e-03 2.022664e+00 -2.873263e+00 -8.321753e-01 -2.615125e+00
094429.0 17.6248 5.005519e+00 4.381567e-03 2.020236e+00 -2.747837e+00 -8.317423e-01 -2.501042e+00
094437.2 17.9994 5.005502e+00 4.418677e-03 2.039441e+00 -2.651847e+00 -8.215792e-01 -2.407798e+00
094504.2 18.3648 5.005523e+00 4.449607e-03 2.049915e+00 -2.558282e+00 -8.248683e-01 -2.317744e+00
094514.0 18.7508 5.005545e+00 4.487116e-03 2.037187e+00 -2.436542e+00 -8.298826e-01 -2.204772e+00
094523.3 19.1251 5.005545e+00 4.512665e-03 2.021312e+00 -2.324706e+00 -8.423859e-01 -2.102542e+00
094530.9 19.5004 5.005507e+00 4.500259e-03 2.032004e+00 -2.229387e+00 -8.392262e-01 -2.028842e+00
094539.4 19.8749 5.005552e+00 4.471903e-03 2.030838e+00 -2.142523e+00 -8.322590e-01 -1.942957e+00
094547.6 20.2502 5.005520e+00 4.441144e-03 2.037286e+00 -2.031643e+00 -8.203065e-01 -1.841298e+00
094601.7 20.6245 5.005551e+00 4.404278e-03 2.054986e+00 -1.925125e+00 -8.116739e-01 -1.738789e+00
094648.3 20.9808 5.005477e+00 4.369968e-03 2.047780e+00 -1.848733e+00 -8.150113e-01 -1.675628e+00
094703.9 21.3749 5.005528e+00 4.341408e-03 2.047285e+00 -1.752410e+00 -8.175150e-01 -1.593542e+00
094713.5 21.7497 5.005527e+00 4.319634e-03 2.045755e+00 -1.646768e+00 -8.211750e-01 -1.483616e+00
094721.7 22.1244 5.005480e+00 4.308552e-03 2.055416e+00 -1.540041e+00 -8.131246e-01 -1.386359e+00
094729.5 22.4998 5.005506e+00 4.307115e-03 2.060132e+00 -1.456477e+00 -8.086335e-01 -1.311856e+00
094742.1 22.8742 5.005538e+00 4.316509e-03 2.079490e+00 -1.368456e+00 -8.002552e-01 -1.244012e+00
094750.3 23.2494 5.005526e+00 4.335760e-03 2.088058e+00 -1.258487e+00 -7.964345e-01 -1.152725e+00
094758.8 23.6243 5.005500e+00 4.338103e-03 2.076393e+00 -1.163215e+00 -8.079145e-01 -1.061675e+00
094807.0 24 5.005514e+00 4.305855e-03 2.061659e+00 -1.091150e+00 -8.138687e-01 -9.854593e-01
094829.5 24.3657 5.005548e+00 4.284773e-03 2.058822e+00 -1.014456e+00 -8.082398e-01 -9.083312e-01
094851.6 24.7401 5.005496e+00 4.287501e-03 2.071358e+00 -9.042225e-01 -8.047302e-01 -8.073730e-01
094859.4 25.1248 5.005487e+00 4.306017e-03 2.081098e+00 -8.013224e-01 -8.001018e-01 -7.168341e-01
094909.3 25.5002 5.005532e+00 4.316763e-03 2.111871e+00 -7.367893e-01 -7.924213e-01 -6.506528e-01
094925.0 25.8758 5.005459e+00 4.327787e-03 2.088266e+00 -6.560707e-01 -7.962565e-01 -5.822357e-01
094932.8 26.2497 5.005511e+00 4.349885e-03 2.072193e+00 -5.424895e-01 -8.047710e-01 -4.970823e-01
