% Fogale DL Rail Calibration results.
% DL=1, Date=2016-03-11T09:03:54
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=ara
% Comment=
% WPS-Sensor tunnel center: WPS-2D-7CF-014
% WPS-Sensor tunnel end: WPS-2D-7D0-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090436.6 1.12498 5.005542e+00 4.780837e-03 2.493389e+00 -8.181373e+00 -1.867139e-01 -7.739458e+00
090448.6 1.49966 5.005505e+00 4.754132e-03 2.505447e+00 -8.010482e+00 -1.893268e-01 -7.588479e+00
090458.6 1.87497 5.005545e+00 4.747327e-03 2.492485e+00 -7.843516e+00 -2.018128e-01 -7.451912e+00
090508.0 2.25022 5.005484e+00 4.740255e-03 2.504172e+00 -7.678770e+00 -2.342839e-01 -7.304012e+00
090517.9 2.62566 5.005565e+00 4.670637e-03 2.521633e+00 -7.561412e+00 -2.841489e-01 -7.171985e+00
090528.6 2.99995 5.005574e+00 4.523706e-03 2.564536e+00 -7.521797e+00 -3.587574e-01 -7.061468e+00
090537.0 3.37552 5.005571e+00 4.356392e-03 2.624291e+00 -7.484774e+00 -4.662446e-01 -6.953941e+00
090546.6 3.75 5.005545e+00 4.253567e-03 2.651503e+00 -7.416380e+00 -5.873790e-01 -6.819715e+00
090554.6 4.12519 5.005579e+00 4.192233e-03 2.651350e+00 -7.329668e+00 -6.796600e-01 -6.698327e+00
090602.6 4.4998 5.005573e+00 4.156452e-03 2.649889e+00 -7.232162e+00 -7.284351e-01 -6.592772e+00
090614.2 4.87359 5.005533e+00 4.141343e-03 2.660918e+00 -7.084189e+00 -7.584456e-01 -6.463812e+00
090627.3 5.24864 5.005554e+00 4.161923e-03 2.676081e+00 -6.892121e+00 -7.651507e-01 -6.315713e+00
090635.9 5.62478 5.005527e+00 4.185793e-03 2.689955e+00 -6.710851e+00 -7.540808e-01 -6.174880e+00
090644.9 6.00009 5.005522e+00 4.158327e-03 2.673395e+00 -6.574470e+00 -7.377410e-01 -6.060584e+00
090657.9 6.37482 5.005518e+00 4.102681e-03 2.638560e+00 -6.445639e+00 -7.446924e-01 -5.943268e+00
090706.7 6.74943 5.005561e+00 4.069061e-03 2.562607e+00 -6.311451e+00 -7.693925e-01 -5.807050e+00
090714.2 7.12455 5.005561e+00 4.060406e-03 2.466344e+00 -6.165429e+00 -7.959855e-01 -5.674455e+00
090724.6 7.49986 5.005575e+00 4.027132e-03 2.339326e+00 -6.048123e+00 -8.157886e-01 -5.563247e+00
090738.2 7.8741 5.005604e+00 3.999848e-03 2.185955e+00 -5.918565e+00 -8.254718e-01 -5.449461e+00
090801.9 8.23981 5.005570e+00 4.005269e-03 2.075068e+00 -5.764766e+00 -8.257543e-01 -5.314250e+00
090815.9 8.62523 5.005508e+00 4.045352e-03 2.006644e+00 -5.607356e+00 -8.311115e-01 -5.181366e+00
090824.6 8.99901 5.005558e+00 4.025531e-03 1.963853e+00 -5.495823e+00 -8.344960e-01 -5.072451e+00
090837.3 9.37495 5.005587e+00 3.999363e-03 1.965561e+00 -5.386330e+00 -8.369574e-01 -4.955690e+00
090845.9 9.74962 5.005563e+00 3.997519e-03 1.996476e+00 -5.251967e+00 -8.373032e-01 -4.823803e+00
090853.9 10.1249 5.005597e+00 3.992242e-03 2.049207e+00 -5.116424e+00 -8.225388e-01 -4.700985e+00
090904.9 10.5001 5.005575e+00 3.966143e-03 2.081247e+00 -5.002370e+00 -8.114039e-01 -4.603618e+00
090916.6 10.874 5.005570e+00 3.973048e-03 2.088858e+00 -4.882324e+00 -8.062058e-01 -4.490890e+00
090929.0 11.2499 5.005585e+00 4.009460e-03 2.066506e+00 -4.743513e+00 -8.148064e-01 -4.357457e+00
090937.9 11.6248 5.005542e+00 4.043688e-03 2.030782e+00 -4.609306e+00 -8.185888e-01 -4.237366e+00
090946.7 12 5.005570e+00 4.043114e-03 2.019990e+00 -4.508487e+00 -8.205208e-01 -4.144930e+00
091002.7 12.3749 5.005571e+00 4.030307e-03 2.029728e+00 -4.396978e+00 -8.158137e-01 -4.042945e+00
091011.9 12.7492 5.005555e+00 4.035464e-03 2.041114e+00 -4.264372e+00 -8.150601e-01 -3.918442e+00
091020.9 13.1254 5.005551e+00 4.049493e-03 2.058421e+00 -4.138166e+00 -8.127682e-01 -3.794666e+00
091028.9 13.4995 5.005608e+00 4.056618e-03 2.062723e+00 -4.030012e+00 -8.078905e-01 -3.699764e+00
091041.9 13.8739 5.005564e+00 4.069847e-03 2.041280e+00 -3.918602e+00 -8.093970e-01 -3.598317e+00
091053.9 14.2497 5.005562e+00 4.089080e-03 2.022590e+00 -3.785805e+00 -8.155600e-01 -3.476181e+00
091106.6 14.6234 5.005569e+00 4.110953e-03 2.018098e+00 -3.658026e+00 -8.185281e-01 -3.357428e+00
091117.3 14.9996 5.005589e+00 4.125501e-03 2.026386e+00 -3.560658e+00 -8.101932e-01 -3.265365e+00
091127.9 15.375 5.005533e+00 4.145897e-03 2.035213e+00 -3.451507e+00 -8.084811e-01 -3.161619e+00
091135.9 15.7496 5.005547e+00 4.183650e-03 2.063054e+00 -3.317615e+00 -8.090845e-01 -3.051655e+00
091143.9 16.1248 5.005534e+00 4.212588e-03 2.058830e+00 -3.201677e+00 -8.149743e-01 -2.929656e+00
