% Fogale DL Rail Calibration results.
% DL=1, Date=2016-03-23T08:41:45
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7CF-014
% WPS-Sensor tunnel end: WPS-2D-7D0-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084226.1 1.12867 5.005558e+00 4.781816e-03 2.499598e+00 -8.176730e+00 -1.920718e-01 -7.744607e+00
084237.0 1.49902 5.005550e+00 4.756067e-03 2.506121e+00 -8.007648e+00 -1.973527e-01 -7.596747e+00
084246.5 1.87421 5.005558e+00 4.748638e-03 2.493317e+00 -7.841211e+00 -2.094696e-01 -7.459013e+00
084254.4 2.24907 5.005550e+00 4.740525e-03 2.506977e+00 -7.676576e+00 -2.401246e-01 -7.312263e+00
084307.0 2.62515 5.005531e+00 4.667773e-03 2.522745e+00 -7.559641e+00 -2.899719e-01 -7.181078e+00
084318.6 3.00109 5.005537e+00 4.523567e-03 2.566065e+00 -7.519971e+00 -3.677470e-01 -7.069924e+00
084327.2 3.37526 5.005567e+00 4.357230e-03 2.626081e+00 -7.482892e+00 -4.724645e-01 -6.962562e+00
084336.0 3.75051 5.005563e+00 4.255298e-03 2.652506e+00 -7.415285e+00 -5.927969e-01 -6.828817e+00
084344.2 4.12462 5.005568e+00 4.191654e-03 2.653346e+00 -7.329904e+00 -6.846208e-01 -6.708872e+00
084354.4 4.50088 5.005559e+00 4.154121e-03 2.653487e+00 -7.231200e+00 -7.359084e-01 -6.601529e+00
084406.5 4.87511 5.005578e+00 4.140867e-03 2.663376e+00 -7.083620e+00 -7.644658e-01 -6.473445e+00
084417.7 5.25011 5.005535e+00 4.161789e-03 2.679297e+00 -6.892569e+00 -7.713435e-01 -6.325274e+00
084426.3 5.62516 5.005546e+00 4.182419e-03 2.690990e+00 -6.712019e+00 -7.597366e-01 -6.186762e+00
084435.1 6.00041 5.005563e+00 4.159220e-03 2.674435e+00 -6.576251e+00 -7.451875e-01 -6.072856e+00
084445.0 6.3745 5.005567e+00 4.103101e-03 2.639013e+00 -6.447223e+00 -7.536223e-01 -5.955891e+00
084453.2 6.75019 5.005568e+00 4.069131e-03 2.568089e+00 -6.312732e+00 -7.790080e-01 -5.819074e+00
084504.1 7.12532 5.005590e+00 4.059113e-03 2.470065e+00 -6.167452e+00 -8.042800e-01 -5.686195e+00
084515.7 7.50037 5.005568e+00 4.026354e-03 2.339443e+00 -6.049938e+00 -8.247354e-01 -5.575163e+00
084528.2 7.87473 5.005545e+00 3.999089e-03 2.188960e+00 -5.919849e+00 -8.330636e-01 -5.461219e+00
084540.8 8.24909 5.005582e+00 4.006800e-03 2.086437e+00 -5.762412e+00 -8.340695e-01 -5.322972e+00
084552.5 8.62529 5.005557e+00 4.044286e-03 2.007051e+00 -5.610387e+00 -8.409290e-01 -5.194734e+00
084605.8 8.99997 5.005583e+00 4.024531e-03 1.964157e+00 -5.499672e+00 -8.450345e-01 -5.085304e+00
084618.7 9.37488 5.005563e+00 3.998599e-03 1.965706e+00 -5.390138e+00 -8.478390e-01 -4.968177e+00
084632.3 9.75032 5.005549e+00 3.997257e-03 1.996458e+00 -5.255986e+00 -8.481739e-01 -4.836107e+00
084641.2 10.1253 5.005598e+00 3.990714e-03 2.045635e+00 -5.120560e+00 -8.330665e-01 -4.713542e+00
084650.1 10.4996 5.005542e+00 3.964055e-03 2.077464e+00 -5.007087e+00 -8.236261e-01 -4.615794e+00
084659.6 10.8751 5.005531e+00 3.966295e-03 2.084760e+00 -4.887454e+00 -8.211691e-01 -4.501379e+00
084712.2 11.2495 5.005552e+00 4.002563e-03 2.060171e+00 -4.748742e+00 -8.294593e-01 -4.369109e+00
084721.1 11.6247 5.005598e+00 4.035230e-03 2.022867e+00 -4.614315e+00 -8.324772e-01 -4.249092e+00
084730.6 12.0007 5.005588e+00 4.034943e-03 2.016234e+00 -4.514938e+00 -8.343165e-01 -4.158097e+00
084739.9 12.3744 5.005581e+00 4.024801e-03 2.027319e+00 -4.403045e+00 -8.279827e-01 -4.056098e+00
084748.4 12.7497 5.005563e+00 4.033360e-03 2.039241e+00 -4.269828e+00 -8.261525e-01 -3.933842e+00
084755.9 13.1246 5.005543e+00 4.052419e-03 2.051167e+00 -4.144379e+00 -8.239159e-01 -3.812763e+00
084803.8 13.4996 5.005565e+00 4.059268e-03 2.059291e+00 -4.036834e+00 -8.193437e-01 -3.719024e+00
084811.7 13.8747 5.005619e+00 4.071508e-03 2.037804e+00 -3.925128e+00 -8.202769e-01 -3.615701e+00
084822.3 14.2501 5.005579e+00 4.088423e-03 2.016256e+00 -3.791553e+00 -8.264281e-01 -3.492830e+00
084832.2 14.6257 5.005578e+00 4.111476e-03 2.009450e+00 -3.663993e+00 -8.285125e-01 -3.372949e+00
084841.4 14.9998 5.005603e+00 4.126251e-03 2.010425e+00 -3.564823e+00 -8.187670e-01 -3.280600e+00
084853.7 15.3748 5.005591e+00 4.144427e-03 2.023706e+00 -3.456083e+00 -8.191083e-01 -3.177596e+00
084903.6 15.7499 5.005552e+00 4.183234e-03 2.049588e+00 -3.320373e+00 -8.152954e-01 -3.066646e+00
084912.1 16.1256 5.005607e+00 4.210961e-03 2.046515e+00 -3.205730e+00 -8.230235e-01 -2.944375e+00
084920.6 16.4999 5.005569e+00 4.234115e-03 2.031280e+00 -3.114048e+00 -8.298427e-01 -2.857465e+00
084929.2 16.8746 5.005600e+00 4.265410e-03 2.024187e+00 -3.015500e+00 -8.292900e-01 -2.754162e+00
