% Fogale DL Rail Calibration results.
% DL=1, Date=2016-03-23T09:37:43
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7CF-014
% WPS-Sensor tunnel end: WPS-2D-7D0-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093751.8 118.875 5.005546e+00 4.472313e-03 2.520697e+00 -7.186822e+00 -4.244855e-01 -9.117516e+00
093803.0 118.5 5.005543e+00 4.654614e-03 2.511891e+00 -7.037947e+00 -4.231341e-01 -8.984840e+00
093814.9 118.125 5.005543e+00 4.808084e-03 2.522299e+00 -6.881419e+00 -4.333078e-01 -8.845197e+00
093824.9 117.75 5.005569e+00 4.883269e-03 2.533664e+00 -6.755599e+00 -4.352531e-01 -8.718518e+00
093834.8 117.374 5.005540e+00 4.886129e-03 2.525774e+00 -6.632898e+00 -4.337412e-01 -8.598913e+00
093844.8 117 5.005530e+00 4.873878e-03 2.537326e+00 -6.483939e+00 -4.297315e-01 -8.460634e+00
093856.7 116.625 5.005558e+00 4.850835e-03 2.552609e+00 -6.339271e+00 -4.198126e-01 -8.315559e+00
093909.3 116.25 5.005560e+00 4.830599e-03 2.539886e+00 -6.215880e+00 -4.252408e-01 -8.178821e+00
093917.2 115.875 5.005553e+00 4.811552e-03 2.528868e+00 -6.108636e+00 -4.227498e-01 -8.062507e+00
093925.3 115.5 5.005563e+00 4.806763e-03 2.531435e+00 -5.967880e+00 -4.130183e-01 -7.903315e+00
093936.9 115.126 5.005583e+00 4.780306e-03 2.529720e+00 -5.824667e+00 -3.953831e-01 -7.738142e+00
093946.1 114.75 5.005551e+00 4.767212e-03 2.543427e+00 -5.699925e+00 -3.698654e-01 -7.600277e+00
093955.7 114.374 5.005569e+00 4.749390e-03 2.554755e+00 -5.587268e+00 -3.282616e-01 -7.479479e+00
094004.9 114.001 5.005524e+00 4.750421e-03 2.558468e+00 -5.443538e+00 -2.976367e-01 -7.343875e+00
094014.4 113.624 5.005525e+00 4.745889e-03 2.536690e+00 -5.307457e+00 -2.798360e-01 -7.203358e+00
094022.2 113.25 5.005563e+00 4.721197e-03 2.528919e+00 -5.198701e+00 -2.700610e-01 -7.084891e+00
094030.8 112.875 5.005537e+00 4.692504e-03 2.528590e+00 -5.097290e+00 -2.666093e-01 -6.964977e+00
094039.3 112.5 5.005581e+00 4.669229e-03 2.527237e+00 -4.976374e+00 -2.656561e-01 -6.830148e+00
094050.6 112.124 5.005529e+00 4.660594e-03 2.544442e+00 -4.837318e+00 -2.606553e-01 -6.681848e+00
094101.4 111.75 5.005557e+00 4.649470e-03 2.566462e+00 -4.715277e+00 -2.537674e-01 -6.560073e+00
094111.4 111.375 5.005542e+00 4.633916e-03 2.560543e+00 -4.609839e+00 -2.455114e-01 -6.443208e+00
094136.7 110.991 5.005529e+00 4.615277e-03 2.534521e+00 -4.349941e+00 -2.682706e-01 -6.177565e+00
094312.7 110.625 NaN NaN NaN NaN NaN NaN
094448.8 110.25 NaN NaN NaN NaN NaN NaN
094624.8 109.875 NaN NaN NaN NaN NaN NaN
094735.1 109.5 NaN NaN NaN NaN NaN NaN
094911.1 109.125 NaN NaN NaN NaN NaN NaN
095047.2 108.75 NaN NaN NaN NaN NaN NaN
095223.2 108.375 NaN NaN NaN NaN NaN NaN
095253.6 107.981 5.005568e+00 4.470800e-03 2.528546e+00 -3.563904e+00 -2.884149e-01 -5.335355e+00
095304.5 107.625 5.005575e+00 4.455794e-03 2.518169e+00 -3.449508e+00 -2.882954e-01 -5.204484e+00
095313.0 107.251 5.005579e+00 4.419137e-03 2.521945e+00 -3.352528e+00 -2.861618e-01 -5.090851e+00
095321.5 106.875 5.005560e+00 4.353491e-03 2.550254e+00 -3.252833e+00 -2.723331e-01 -4.983615e+00
095329.1 106.501 5.005574e+00 4.300303e-03 2.539681e+00 -3.135863e+00 -2.728353e-01 -4.862423e+00
095336.7 106.126 5.005525e+00 4.254658e-03 2.521537e+00 -3.015684e+00 -2.830925e-01 -4.731067e+00
095346.3 105.75 5.005539e+00 4.208278e-03 2.516227e+00 -2.921314e+00 -2.886738e-01 -4.630194e+00
095409.4 105.365 5.005533e+00 4.162342e-03 2.513278e+00 -2.836871e+00 -2.905781e-01 -4.540701e+00
095418.3 105 5.005556e+00 4.149955e-03 2.510874e+00 -2.722628e+00 -2.918303e-01 -4.421721e+00
095426.4 104.626 5.005559e+00 4.138059e-03 2.529115e+00 -2.601017e+00 -2.885845e-01 -4.283721e+00
095437.7 104.25 5.005543e+00 4.119897e-03 2.549509e+00 -2.504606e+00 -2.827002e-01 -4.176038e+00
095446.2 103.875 5.005591e+00 4.099435e-03 2.533882e+00 -2.413574e+00 -2.865786e-01 -4.079729e+00
095454.1 103.5 5.005598e+00 4.092632e-03 2.521892e+00 -2.305821e+00 -2.920384e-01 -3.968898e+00
095506.0 103.125 5.005545e+00 4.095472e-03 2.518378e+00 -2.187207e+00 -3.037289e-01 -3.855322e+00
095515.2 102.751 5.005535e+00 4.085396e-03 2.513155e+00 -2.094477e+00 -3.057732e-01 -3.757377e+00
095524.4 102.375 5.005540e+00 4.045569e-03 2.520140e+00 -2.019014e+00 -3.042977e-01 -3.657502e+00
095533.6 102 5.005569e+00 3.999991e-03 2.544372e+00 -1.912021e+00 -2.947864e-01 -3.541255e+00
095542.8 101.625 5.005567e+00 3.963482e-03 2.542346e+00 -1.801103e+00 -2.984646e-01 -3.418131e+00
095551.3 101.25 5.005610e+00 3.923995e-03 2.520850e+00 -1.720315e+00 -3.076778e-01 -3.331403e+00
095600.9 100.875 5.005597e+00 3.896976e-03 2.520160e+00 -1.636050e+00 -3.095039e-01 -3.244093e+00
095612.2 100.501 5.005557e+00 3.890820e-03 2.508148e+00 -1.531524e+00 -3.198380e-01 -3.134324e+00
095620.0 100.126 5.005590e+00 3.906719e-03 2.504948e+00 -1.420199e+00 -3.257478e-01 -3.017201e+00
095633.6 99.7504 5.005578e+00 3.923525e-03 2.521823e+00 -1.335394e+00 -3.207075e-01 -2.917294e+00
095642.2 99.3754 5.005551e+00 3.931971e-03 2.537526e+00 -1.256067e+00 -3.155164e-01 -2.821648e+00
095651.0 99.0009 5.005576e+00 3.952926e-03 2.516052e+00 -1.153866e+00 -3.217135e-01 -2.715586e+00
