% Fogale DL Rail Calibration results.
% DL=2, Date=2016-03-10T09:34:45
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=jos
% Comment=delirium on delirium
% WPS-Sensor tunnel center: WPS-2D-7D0-013
% WPS-Sensor tunnel end: WPS-2D-7D0-001
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093527.6 1.12498 5.000756e+00 7.502194e-05 -3.152195e+00 -8.324126e+00 -2.368330e+00 -9.158421e+00
093539.6 1.49959 5.000786e+00 3.763947e-05 -3.171762e+00 -8.195823e+00 -2.371253e+00 -9.005759e+00
093550.1 1.87452 5.000751e+00 2.840157e-05 -3.201565e+00 -8.026152e+00 -2.390002e+00 -8.846717e+00
093603.1 2.24945 5.000784e+00 4.751743e-05 -3.210862e+00 -7.826828e+00 -2.423349e+00 -8.684814e+00
093616.1 2.62496 5.000760e+00 8.982047e-05 -3.225340e+00 -7.652011e+00 -2.466158e+00 -8.528865e+00
093628.7 3.00033 5.000774e+00 9.750748e-05 -3.240248e+00 -7.522440e+00 -2.526675e+00 -8.392417e+00
093642.3 3.37457 5.000797e+00 7.978414e-05 -3.241046e+00 -7.355874e+00 -2.611768e+00 -8.253927e+00
093655.6 3.74969 5.000750e+00 7.082137e-05 -3.255671e+00 -7.184209e+00 -2.690673e+00 -8.103359e+00
093708.6 4.12449 5.000784e+00 7.449722e-05 -3.268633e+00 -7.018589e+00 -2.750770e+00 -7.971616e+00
093719.5 4.50012 5.000788e+00 6.798861e-05 -3.333314e+00 -6.865247e+00 -2.810411e+00 -7.849452e+00
093729.0 4.87499 5.000784e+00 6.096165e-05 -3.348836e+00 -6.725394e+00 -2.836877e+00 -7.716503e+00
093736.9 5.24941 5.000787e+00 4.808541e-05 -3.321645e+00 -6.551813e+00 -2.860342e+00 -7.568243e+00
093748.1 5.62516 5.000782e+00 2.824332e-05 -3.326452e+00 -6.406576e+00 -2.859922e+00 -7.416530e+00
093800.4 6.00003 5.000785e+00 5.158972e-06 -3.358511e+00 -6.271996e+00 -2.856423e+00 -7.293995e+00
093814.7 6.37431 5.000811e+00 -1.856026e-05 -3.387855e+00 -6.122287e+00 -2.867847e+00 -7.165831e+00
093825.6 6.74981 5.000784e+00 -4.542965e-05 -3.450021e+00 -5.951970e+00 -2.884225e+00 -7.032487e+00
093838.0 7.12462 5.000788e+00 -7.555899e-05 -3.497389e+00 -5.804852e+00 -2.896784e+00 -6.884830e+00
093849.2 7.49961 5.000722e+00 -9.001002e-05 -3.584244e+00 -5.686603e+00 -2.914750e+00 -6.759095e+00
093901.8 7.87518 5.000780e+00 -8.353940e-05 -3.707330e+00 -5.562033e+00 -2.937263e+00 -6.624284e+00
093913.8 8.25017 5.000779e+00 -5.684673e-05 -3.784093e+00 -5.400876e+00 -2.951134e+00 -6.485271e+00
093925.7 8.62574 5.000759e+00 -3.325553e-05 -3.846243e+00 -5.259925e+00 -2.958238e+00 -6.352449e+00
093934.3 8.99927 5.000798e+00 -3.564898e-05 -3.863964e+00 -5.141779e+00 -2.957565e+00 -6.232580e+00
093948.7 9.37488 5.000765e+00 -5.057030e-05 -3.854177e+00 -5.016910e+00 -2.958427e+00 -6.119008e+00
094001.3 9.75 5.000760e+00 -5.950813e-05 -3.831494e+00 -4.862558e+00 -2.958588e+00 -5.974064e+00
094013.6 10.1252 5.000806e+00 -3.832923e-05 -3.803607e+00 -4.721413e+00 -2.955289e+00 -5.833780e+00
094024.8 10.4999 5.000813e+00 -1.382863e-05 -3.807378e+00 -4.597377e+00 -2.969512e+00 -5.727792e+00
094036.2 10.8743 5.000822e+00 -8.755079e-06 -3.823585e+00 -4.470942e+00 -2.971903e+00 -5.606937e+00
094046.8 11.2501 5.000761e+00 5.403187e-06 -3.834210e+00 -4.315250e+00 -2.984554e+00 -5.468165e+00
094055.4 11.6247 5.000786e+00 3.296871e-07 -3.856873e+00 -4.172437e+00 -2.979679e+00 -5.326641e+00
094107.7 11.9994 5.000803e+00 -1.406059e-05 -3.851304e+00 -4.061573e+00 -2.977760e+00 -5.223069e+00
094122.3 12.3749 5.000766e+00 6.917293e-06 -3.842633e+00 -3.934671e+00 -2.978869e+00 -5.108096e+00
094134.6 12.7498 5.000791e+00 5.201735e-05 -3.860325e+00 -3.790564e+00 -3.000249e+00 -4.981253e+00
094142.8 13.125 5.000781e+00 6.479573e-05 -3.884835e+00 -3.657178e+00 -3.008778e+00 -4.861922e+00
