% Fogale DL Rail Calibration results.
% DL=2, Date=2016-03-11T09:03:55
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=jos
% Comment=delirium on delirium
% WPS-Sensor tunnel center: WPS-2D-7D0-013
% WPS-Sensor tunnel end: WPS-2D-7D0-001
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090449.3 1.11488 5.000796e+00 7.707351e-05 -3.150524e+00 -8.328014e+00 -2.369452e+00 -9.163344e+00
090502.1 1.49966 5.000792e+00 3.971505e-05 -3.170820e+00 -8.195993e+00 -2.370919e+00 -9.006970e+00
090511.7 1.87459 5.000741e+00 3.070957e-05 -3.199644e+00 -8.025533e+00 -2.390099e+00 -8.846892e+00
090523.4 2.24945 5.000761e+00 4.573482e-05 -3.210370e+00 -7.826209e+00 -2.423475e+00 -8.685141e+00
090533.3 2.62458 5.000781e+00 9.083490e-05 -3.223119e+00 -7.651599e+00 -2.463872e+00 -8.529304e+00
090546.0 3.00046 5.000759e+00 9.764815e-05 -3.243748e+00 -7.522421e+00 -2.528091e+00 -8.392591e+00
090600.7 3.37507 5.000784e+00 7.740921e-05 -3.239545e+00 -7.355095e+00 -2.611352e+00 -8.255078e+00
090612.7 3.75007 5.000798e+00 7.375846e-05 -3.249962e+00 -7.184763e+00 -2.686823e+00 -8.103199e+00
090625.4 4.12455 5.000773e+00 7.623078e-05 -3.270460e+00 -7.018695e+00 -2.749566e+00 -7.973027e+00
090636.3 4.50018 5.000794e+00 6.983222e-05 -3.332101e+00 -6.865722e+00 -2.809433e+00 -7.851209e+00
090646.3 4.87505 5.000733e+00 6.068633e-05 -3.347944e+00 -6.725929e+00 -2.836188e+00 -7.717772e+00
090657.3 5.25011 5.000768e+00 5.182145e-05 -3.320420e+00 -6.551500e+00 -2.858110e+00 -7.569613e+00
090710.4 5.62504 5.000788e+00 2.970832e-05 -3.326044e+00 -6.406253e+00 -2.859363e+00 -7.418305e+00
090721.7 6.00016 5.000762e+00 5.519179e-06 -3.355490e+00 -6.272041e+00 -2.856633e+00 -7.295491e+00
