% Fogale DL Rail Calibration results.
% DL=2, Date=2016-03-23T08:41:46
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7D0-013
% WPS-Sensor tunnel end: WPS-2D-7D0-001
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084228.6 1.12517 5.000804e+00 7.746432e-05 -3.142472e+00 -8.294468e+00 -2.362217e+00 -9.130454e+00
084240.9 1.4994 5.000751e+00 3.934226e-05 -3.162945e+00 -8.166582e+00 -2.362670e+00 -8.978731e+00
084251.2 1.8751 5.000767e+00 3.005642e-05 -3.190839e+00 -7.996268e+00 -2.380312e+00 -8.818975e+00
084304.4 2.24888 5.000778e+00 4.785325e-05 -3.199172e+00 -7.797829e+00 -2.414245e+00 -8.657306e+00
084317.7 2.624 5.000775e+00 8.709253e-05 -3.214749e+00 -7.623465e+00 -2.458266e+00 -8.502465e+00
084341.3 2.98997 5.000778e+00 9.610946e-05 -3.237554e+00 -7.496558e+00 -2.524223e+00 -8.370769e+00
084353.9 3.37437 5.000764e+00 7.693288e-05 -3.244535e+00 -7.333714e+00 -2.607975e+00 -8.227666e+00
084404.2 3.74969 5.000770e+00 6.991193e-05 -3.240280e+00 -7.157564e+00 -2.685578e+00 -8.077641e+00
084415.2 4.125 5.000788e+00 7.739134e-05 -3.261707e+00 -6.991288e+00 -2.748838e+00 -7.946911e+00
084428.4 4.49955 5.000736e+00 6.677944e-05 -3.324518e+00 -6.838018e+00 -2.808409e+00 -7.824631e+00
084440.4 4.87435 5.000800e+00 6.140733e-05 -3.339351e+00 -6.699656e+00 -2.834466e+00 -7.692630e+00
084448.2 5.2496 5.000771e+00 5.138221e-05 -3.314168e+00 -6.525692e+00 -2.858522e+00 -7.544851e+00
084500.6 5.62497 5.000761e+00 3.113087e-05 -3.317085e+00 -6.380960e+00 -2.860203e+00 -7.394628e+00
084512.5 6.00016 5.000769e+00 7.039407e-06 -3.349519e+00 -6.246998e+00 -2.860198e+00 -7.272380e+00
084525.1 6.37533 5.000784e+00 -1.800460e-05 -3.379682e+00 -6.097823e+00 -2.869075e+00 -7.143797e+00
084537.3 6.74943 5.000747e+00 -4.183946e-05 -3.440963e+00 -5.927798e+00 -2.888022e+00 -7.010598e+00
084549.3 7.12481 5.000774e+00 -7.427093e-05 -3.498248e+00 -5.781668e+00 -2.903119e+00 -6.863292e+00
084600.2 7.50012 5.000794e+00 -9.081678e-05 -3.581530e+00 -5.663230e+00 -2.918806e+00 -6.738469e+00
084611.5 7.87448 5.000779e+00 -7.916773e-05 -3.706870e+00 -5.538307e+00 -2.941566e+00 -6.603652e+00
084624.2 8.24966 5.000776e+00 -5.522850e-05 -3.788650e+00 -5.379414e+00 -2.957792e+00 -6.465778e+00
084632.8 8.62478 5.000788e+00 -3.188191e-05 -3.846904e+00 -5.238378e+00 -2.961327e+00 -6.333248e+00
084644.4 9.00048 5.000769e+00 -3.197350e-05 -3.865023e+00 -5.120229e+00 -2.957285e+00 -6.212573e+00
084654.9 9.37476 5.000788e+00 -4.854940e-05 -3.852423e+00 -4.995530e+00 -2.954796e+00 -6.099606e+00
084706.9 9.75045 5.000802e+00 -5.710288e-05 -3.829293e+00 -4.841619e+00 -2.956923e+00 -5.954741e+00
084718.8 10.1251 5.000796e+00 -3.575297e-05 -3.802589e+00 -4.700932e+00 -2.956826e+00 -5.815621e+00
084731.1 10.4999 5.000768e+00 -1.606307e-05 -3.808000e+00 -4.577890e+00 -2.970007e+00 -5.709856e+00
084743.7 10.875 5.000756e+00 -9.072452e-06 -3.826341e+00 -4.451487e+00 -2.970467e+00 -5.588013e+00
084757.0 11.2492 5.000769e+00 8.126169e-06 -3.843884e+00 -4.296999e+00 -2.984650e+00 -5.450402e+00
084808.5 11.6247 5.000756e+00 -1.892634e-06 -3.865523e+00 -4.154605e+00 -2.983392e+00 -5.308915e+00
084817.1 11.9993 5.000770e+00 -1.471379e-05 -3.858496e+00 -4.043746e+00 -2.979971e+00 -5.205056e+00
084830.4 12.3747 5.000786e+00 6.550975e-06 -3.847732e+00 -3.916856e+00 -2.981142e+00 -5.090622e+00
084840.9 12.7498 5.000773e+00 5.449610e-05 -3.863973e+00 -3.773720e+00 -3.001947e+00 -4.965250e+00
084849.1 13.1249 5.000791e+00 6.619366e-05 -3.882389e+00 -3.639844e+00 -3.010620e+00 -4.845618e+00
084858.6 13.5 5.000759e+00 7.360524e-05 -3.888292e+00 -3.530462e+00 -3.009865e+00 -4.730603e+00
084911.2 13.8742 5.000831e+00 9.345490e-05 -3.909740e+00 -3.412117e+00 -3.023216e+00 -4.616041e+00
084923.8 14.2497 5.000785e+00 1.250002e-04 -3.917280e+00 -3.255469e+00 -3.022832e+00 -4.472691e+00
084936.4 14.6255 5.000774e+00 1.540978e-04 -3.919608e+00 -3.125529e+00 -3.027053e+00 -4.345369e+00
084947.4 14.9998 5.000787e+00 1.944178e-04 -3.909342e+00 -3.013286e+00 -3.045743e+00 -4.247920e+00
085002.7 15.3744 5.000748e+00 2.621908e-04 -3.940630e+00 -2.902200e+00 -3.060201e+00 -4.127131e+00
085017.4 15.7487 5.000767e+00 3.373378e-04 -3.954901e+00 -2.745559e+00 -3.073061e+00 -3.998126e+00
085029.3 16.1248 5.000765e+00 3.972952e-04 -3.964143e+00 -2.606950e+00 -3.080768e+00 -3.873769e+00
085041.9 16.4994 5.000776e+00 4.351636e-04 -3.981533e+00 -2.502668e+00 -3.089569e+00 -3.763553e+00
085054.5 16.874 5.000773e+00 4.923335e-04 -3.981094e+00 -2.387189e+00 -3.088660e+00 -3.647027e+00
085105.2 17.2499 5.000786e+00 5.679891e-04 -3.988568e+00 -2.264828e+00 -3.104384e+00 -3.518846e+00
085118.1 17.6249 5.000792e+00 6.324136e-04 -3.998094e+00 -2.140669e+00 -3.124517e+00 -3.404084e+00
085126.4 18.0001 5.000760e+00 6.599194e-04 -4.013878e+00 -2.034261e+00 -3.133138e+00 -3.304490e+00
085140.3 18.3748 5.000790e+00 6.824744e-04 -4.028033e+00 -1.918833e+00 -3.143572e+00 -3.201113e+00
085155.0 18.7491 5.000762e+00 6.945686e-04 -4.033789e+00 -1.780319e+00 -3.150391e+00 -3.083164e+00
085206.2 19.1253 5.000781e+00 6.786612e-04 -4.036919e+00 -1.655548e+00 -3.159295e+00 -2.972521e+00
085214.0 19.5002 5.000794e+00 6.256734e-04 -4.032541e+00 -1.562856e+00 -3.155943e+00 -2.888621e+00
085226.6 19.875 5.000766e+00 5.725158e-04 -4.027553e+00 -1.468732e+00 -3.159040e+00 -2.793685e+00
085234.5 20.25 5.000750e+00 5.245286e-04 -4.031199e+00 -1.353100e+00 -3.168998e+00 -2.690950e+00
085243.8 20.625 5.000801e+00 4.417637e-04 -4.041843e+00 -1.245443e+00 -3.170592e+00 -2.584395e+00
085256.4 21 5.000804e+00 3.673163e-04 -4.036857e+00 -1.158601e+00 -3.162695e+00 -2.506021e+00
085319.3 21.3646 5.000817e+00 2.945753e-04 -4.048859e+00 -1.071114e+00 -3.159510e+00 -2.428778e+00
085333.1 21.7497 5.000762e+00 2.908247e-04 -4.039804e+00 -9.423689e-01 -3.162509e+00 -2.303786e+00
085344.9 22.1249 5.000794e+00 3.023658e-04 -4.024575e+00 -8.265860e-01 -3.174759e+00 -2.202842e+00
085353.1 22.4995 5.000776e+00 2.881652e-04 -4.035757e+00 -7.388742e-01 -3.180748e+00 -2.117789e+00
085405.3 22.875 5.000768e+00 2.577346e-04 -4.044822e+00 -6.463317e-01 -3.191586e+00 -2.033000e+00
