% Fogale DL Rail Calibration results.
% DL=2, Date=2016-03-23T09:42:58
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7D0-013
% WPS-Sensor tunnel end: WPS-2D-7D0-001
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
094303.1 118.875 5.000785e+00 2.396212e-04 -5.246474e+00 -3.599103e+00 -4.497443e+00 -6.962043e+00
094311.6 118.5 5.000800e+00 3.638958e-04 -5.241919e+00 -3.477393e+00 -4.490545e+00 -6.871843e+00
094323.9 118.125 5.000773e+00 4.929107e-04 -5.236906e+00 -3.347844e+00 -4.481729e+00 -6.775977e+00
094335.2 117.749 5.000791e+00 5.810814e-04 -5.246137e+00 -3.237354e+00 -4.475925e+00 -6.690054e+00
094343.3 117.375 5.000799e+00 6.351079e-04 -5.255888e+00 -3.119512e+00 -4.447805e+00 -6.568654e+00
094355.6 117 5.000768e+00 6.617703e-04 -5.245940e+00 -2.980676e+00 -4.429934e+00 -6.438109e+00
094408.9 116.624 5.000752e+00 6.532586e-04 -5.236273e+00 -2.836086e+00 -4.416246e+00 -6.304030e+00
094419.8 116.25 5.000793e+00 6.004096e-04 -5.223025e+00 -2.727249e+00 -4.399695e+00 -6.169576e+00
094428.0 115.875 5.000773e+00 5.359939e-04 -5.204438e+00 -2.632274e+00 -4.382005e+00 -6.046691e+00
094440.0 115.501 5.000771e+00 4.891571e-04 -5.206509e+00 -2.512224e+00 -4.367302e+00 -5.897170e+00
094447.8 115.126 5.000809e+00 4.854658e-04 -5.212143e+00 -2.380791e+00 -4.352785e+00 -5.748188e+00
094457.1 114.75 5.000791e+00 4.803551e-04 -5.204887e+00 -2.267477e+00 -4.333466e+00 -5.629210e+00
094509.0 114.374 5.000774e+00 4.539855e-04 -5.204830e+00 -2.164380e+00 -4.311271e+00 -5.528879e+00
094518.9 114 5.000795e+00 4.682099e-04 -5.193749e+00 -2.044219e+00 -4.298009e+00 -5.412261e+00
094530.5 113.625 5.000765e+00 5.104637e-04 -5.178850e+00 -1.912749e+00 -4.295695e+00 -5.294556e+00
