% Fogale DL Rail Calibration results.
% DL=3, Date=2016-03-10T09:34:46
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=ara
% Comment=
% WPS-Sensor tunnel center: WPS-2D-7D0-011
% WPS-Sensor tunnel end: WPS-2D-7D0-012
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093602.5 1.12511 4.991857e+00 1.208543e-03 -1.143701e-01 -7.063563e+00 4.752674e-01 -8.334041e+00
093613.5 1.50017 4.991829e+00 1.185546e-03 -1.227250e-01 -6.895619e+00 4.580508e-01 -8.181832e+00
093624.6 1.87516 4.991834e+00 1.160048e-03 -1.197930e-01 -6.742969e+00 4.562465e-01 -8.035043e+00
093636.4 2.25022 4.991837e+00 1.183156e-03 -1.341274e-01 -6.559771e+00 4.354690e-01 -7.876376e+00
093644.6 2.62527 4.991819e+00 1.244785e-03 -1.558335e-01 -6.403504e+00 4.238231e-01 -7.741439e+00
093652.8 3.00014 4.991838e+00 1.340518e-03 -1.764614e-01 -6.266101e+00 3.899348e-01 -7.625740e+00
093701.1 3.37501 4.991845e+00 1.451133e-03 -1.785485e-01 -6.119975e+00 3.449365e-01 -7.521000e+00
093714.0 3.75096 4.991847e+00 1.543030e-03 -2.042613e-01 -5.957437e+00 3.177655e-01 -7.401544e+00
093721.9 4.12493 4.991816e+00 1.575433e-03 -2.283534e-01 -5.801399e+00 2.971737e-01 -7.266209e+00
093729.9 4.49974 4.991808e+00 1.565694e-03 -2.680405e-01 -5.710406e+00 2.893268e-01 -7.159537e+00
093739.9 4.87524 4.991807e+00 1.556056e-03 -3.085953e-01 -5.578863e+00 2.653389e-01 -7.014167e+00
093750.4 5.25011 4.991795e+00 1.566840e-03 -3.192102e-01 -5.395487e+00 2.319336e-01 -6.863399e+00
093800.9 5.62485 4.991828e+00 1.552502e-03 -3.229823e-01 -5.234312e+00 2.289686e-01 -6.724447e+00
093812.8 5.9999 4.991814e+00 1.520287e-03 -3.179792e-01 -5.109103e+00 2.180108e-01 -6.607277e+00
093823.4 6.37504 4.991810e+00 1.510644e-03 -3.296008e-01 -4.963408e+00 2.010682e-01 -6.464823e+00
093832.8 6.74946 4.991822e+00 1.524820e-03 -3.491082e-01 -4.808337e+00 1.861717e-01 -6.316058e+00
093840.5 7.12439 4.991845e+00 1.544801e-03 -3.533687e-01 -4.678861e+00 1.770762e-01 -6.181620e+00
093850.4 7.50021 4.991836e+00 1.551808e-03 -3.878005e-01 -4.575818e+00 1.564872e-01 -6.064160e+00
093904.1 7.87495 4.991816e+00 1.561236e-03 -4.339179e-01 -4.495856e+00 1.316598e-01 -5.946721e+00
093912.6 8.25064 4.991789e+00 1.576324e-03 -4.334630e-01 -4.361927e+00 1.141564e-01 -5.801353e+00
093925.2 8.62474 4.991835e+00 1.577618e-03 -4.419801e-01 -4.241121e+00 1.033826e-01 -5.665821e+00
093933.6 9.00012 4.991863e+00 1.560147e-03 -4.621203e-01 -4.126393e+00 9.123587e-02 -5.543751e+00
093946.3 9.37453 4.991834e+00 1.544954e-03 -4.834326e-01 -4.010449e+00 8.532114e-02 -5.417132e+00
093959.9 9.74863 4.991817e+00 1.544764e-03 -5.197541e-01 -3.862249e+00 7.672962e-02 -5.278816e+00
094007.6 10.1246 4.991823e+00 1.541794e-03 -5.225380e-01 -3.707853e+00 5.420128e-02 -5.147282e+00
094018.3 10.4994 4.991842e+00 1.529258e-03 -5.280691e-01 -3.596131e+00 3.400419e-02 -5.050460e+00
094030.1 10.8748 4.991825e+00 1.574535e-03 -5.426985e-01 -3.463200e+00 1.032144e-02 -4.934721e+00
094040.4 11.2498 4.991819e+00 1.561392e-03 -5.541246e-01 -3.315986e+00 -5.369392e-03 -4.787340e+00
094051.6 11.6251 4.991813e+00 1.538385e-03 -5.846874e-01 -3.175880e+00 -1.166564e-02 -4.650699e+00
094059.7 11.9999 4.991836e+00 1.523690e-03 -5.958518e-01 -3.067202e+00 -1.550920e-02 -4.545147e+00
094121.9 12.3655 4.991832e+00 1.525284e-03 -6.181447e-01 -2.948771e+00 -2.945694e-02 -4.432953e+00
094135.0 12.7495 4.991828e+00 1.546909e-03 -6.302952e-01 -2.792035e+00 -5.682226e-02 -4.299338e+00
094144.3 13.1248 4.991823e+00 1.572629e-03 -6.367988e-01 -2.657908e+00 -6.958847e-02 -4.180461e+00
094153.3 13.4999 4.991828e+00 1.560782e-03 -6.443030e-01 -2.543365e+00 -8.374572e-02 -4.077898e+00
094204.9 13.8749 4.991810e+00 1.535706e-03 -6.632296e-01 -2.423099e+00 -9.370402e-02 -3.964812e+00
094212.7 14.2496 4.991824e+00 1.522246e-03 -6.767577e-01 -2.281695e+00 -9.604991e-02 -3.837716e+00
094220.8 14.6249 4.991812e+00 1.511261e-03 -7.043459e-01 -2.149177e+00 -1.003176e-01 -3.707719e+00
094229.1 14.9997 4.991834e+00 1.511815e-03 -7.298495e-01 -2.053398e+00 -1.236441e-01 -3.607966e+00
094242.4 15.3741 4.991837e+00 1.542560e-03 -7.467571e-01 -1.948519e+00 -1.496529e-01 -3.495830e+00
094250.5 15.7495 4.991861e+00 1.581158e-03 -7.455468e-01 -1.794337e+00 -1.731888e-01 -3.371600e+00
094259.1 16.1245 4.991805e+00 1.611610e-03 -7.649523e-01 -1.656666e+00 -1.951448e-01 -3.248708e+00
094310.5 16.5 4.991864e+00 1.635349e-03 -7.823331e-01 -1.553543e+00 -1.969785e-01 -3.145153e+00
094323.5 16.8739 4.991867e+00 1.671524e-03 -8.036886e-01 -1.439862e+00 -2.164923e-01 -3.035213e+00
094333.3 17.2494 4.991817e+00 1.720750e-03 -8.382367e-01 -1.309519e+00 -2.350767e-01 -2.904437e+00
094344.4 17.6251 4.991851e+00 1.757272e-03 -8.605382e-01 -1.186843e+00 -2.543455e-01 -2.780858e+00
094355.3 18 4.991848e+00 1.807003e-03 -8.622595e-01 -1.081892e+00 -2.727614e-01 -2.682776e+00
094407.3 18.375 4.991843e+00 1.874611e-03 -8.735863e-01 -9.700234e-01 -2.961087e-01 -2.580109e+00
094420.4 18.7495 4.991823e+00 1.926396e-03 -8.845748e-01 -8.279842e-01 -3.125683e-01 -2.460693e+00
094428.0 19.1251 4.991782e+00 1.925319e-03 -9.063856e-01 -7.023613e-01 -3.220998e-01 -2.347752e+00
094435.9 19.4997 4.991884e+00 1.882062e-03 -9.261255e-01 -6.058854e-01 -3.286094e-01 -2.256330e+00
094444.2 19.8748 4.991831e+00 1.819766e-03 -9.446244e-01 -4.824597e-01 -3.432220e-01 -2.161287e+00
094455.4 20.2506 4.991815e+00 1.768870e-03 -9.565205e-01 -3.927412e-01 -3.635263e-01 -2.054104e+00
094504.6 20.6259 4.991820e+00 1.722520e-03 -9.589088e-01 -2.892054e-01 -3.746816e-01 -1.948014e+00
094513.6 21 4.991835e+00 1.655323e-03 -9.656457e-01 -2.047655e-01 -3.837111e-01 -1.873418e+00
094526.4 21.3747 4.991836e+00 1.605061e-03 -9.713173e-01 -1.025000e-01 -4.026418e-01 -1.784371e+00
094540.3 21.75 4.991829e+00 1.578951e-03 -9.829386e-01 1.740705e-02 -4.042218e-01 -1.667355e+00
094549.1 22.125 4.991835e+00 1.545897e-03 -1.004423e+00 1.265769e-01 -4.164454e-01 -1.565839e+00
094557.9 22.4998 4.991836e+00 1.527302e-03 -1.026336e+00 2.184932e-01 -4.352762e-01 -1.484054e+00
094605.9 22.8747 4.991831e+00 1.534773e-03 -1.029106e+00 3.088787e-01 -4.507146e-01 -1.402454e+00
094617.0 23.2502 4.991845e+00 1.556408e-03 -1.037570e+00 4.228298e-01 -4.689618e-01 -1.302555e+00
094633.1 23.6249 4.991815e+00 1.550554e-03 -1.056390e+00 5.291379e-01 -4.800083e-01 -1.200954e+00
094641.4 23.9997 4.991816e+00 1.528785e-03 -1.072720e+00 6.171935e-01 -4.868943e-01 -1.118652e+00
094654.2 24.3738 4.991851e+00 1.514705e-03 -1.084524e+00 7.187079e-01 -4.980121e-01 -1.027378e+00
094704.6 24.7494 4.991845e+00 1.519802e-03 -1.110631e+00 8.388289e-01 -5.154855e-01 -9.171828e-01
094712.3 25.1247 4.991834e+00 1.518432e-03 -1.126818e+00 9.488154e-01 -5.376116e-01 -8.208720e-01
094720.0 25.5 4.991836e+00 1.514959e-03 -1.131494e+00 1.022249e+00 -5.486788e-01 -7.465798e-01
094731.5 25.8751 4.991827e+00 1.511013e-03 -1.151625e+00 1.111089e+00 -5.705554e-01 -6.687584e-01
094744.1 26.2501 4.991829e+00 1.517882e-03 -1.176110e+00 1.224274e+00 -5.833307e-01 -5.615926e-01
094759.7 26.6255 4.991854e+00 1.520021e-03 -1.192765e+00 1.336249e+00 -5.877798e-01 -4.704546e-01
094808.3 26.9998 4.991806e+00 1.503330e-03 -1.213417e+00 1.405731e+00 -6.022694e-01 -3.967838e-01
094817.0 27.3745 4.991842e+00 1.493704e-03 -1.236156e+00 1.484797e+00 -6.262074e-01 -3.190268e-01
094826.6 27.75 4.991785e+00 1.493418e-03 -1.233023e+00 1.592547e+00 -6.405908e-01 -2.254989e-01
094837.6 28.1257 4.991867e+00 1.502561e-03 -1.234052e+00 1.691747e+00 -6.568538e-01 -1.404160e-01
094847.7 28.5001 4.991827e+00 1.498056e-03 -1.254706e+00 1.764562e+00 -6.747747e-01 -6.562498e-02
094855.4 28.8743 4.991797e+00 1.502521e-03 -1.267898e+00 1.852981e+00 -6.830915e-01 1.049705e-02
094907.8 29.25 4.991854e+00 1.519436e-03 -1.301176e+00 1.960355e+00 -6.965624e-01 9.854938e-02
094918.1 29.6261 4.991800e+00 1.508740e-03 -1.318828e+00 2.059431e+00 -7.165336e-01 1.830525e-01
094927.1 29.9999 4.991858e+00 1.490823e-03 -1.327994e+00 2.122145e+00 -7.339380e-01 2.441767e-01
094940.2 30.3747 4.991863e+00 1.505732e-03 -1.332209e+00 2.207066e+00 -7.525522e-01 3.160047e-01
094953.7 30.75 4.991807e+00 1.539882e-03 -1.346448e+00 2.308678e+00 -7.744251e-01 4.057854e-01
095001.2 31.1245 4.991795e+00 1.581247e-03 -1.373404e+00 2.397730e+00 -7.876017e-01 4.932147e-01
095013.4 31.4997 4.991818e+00 1.608130e-03 -1.386805e+00 2.469910e+00 -7.967231e-01 5.490093e-01
095025.6 31.8745 4.991843e+00 1.593269e-03 -1.420209e+00 2.541177e+00 -8.059528e-01 6.187727e-01
095034.0 32.2497 4.991839e+00 1.607439e-03 -1.446217e+00 2.641313e+00 -8.278669e-01 7.121827e-01
095043.2 32.6251 4.991849e+00 1.610402e-03 -1.445324e+00 2.737752e+00 -8.480913e-01 7.865256e-01
095051.9 33 4.991822e+00 1.572630e-03 -1.447063e+00 2.794399e+00 -8.549497e-01 8.355876e-01
095105.3 33.3752 4.991843e+00 1.514585e-03 -1.458683e+00 2.855718e+00 -8.707394e-01 8.949938e-01
095113.9 33.7499 4.991815e+00 1.478634e-03 -1.479650e+00 2.937677e+00 -8.764202e-01 9.700590e-01
095122.4 34.1248 4.991819e+00 1.456834e-03 -1.500779e+00 3.015998e+00 -8.803051e-01 1.044191e+00
095133.6 34.5 4.991834e+00 1.434793e-03 -1.521558e+00 3.075350e+00 -8.957061e-01 1.099244e+00
095141.1 34.8748 4.991871e+00 1.419328e-03 -1.531498e+00 3.144184e+00 -9.187495e-01 1.161388e+00
