% Fogale DL Rail Calibration results.
% DL=3, Date=2016-03-11T09:03:57
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=ara
% Comment=
% WPS-Sensor tunnel center: WPS-2D-7D0-011
% WPS-Sensor tunnel end: WPS-2D-7D0-012
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090433.8 1.12829 4.991821e+00 1.207886e-03 -1.160602e-01 -7.061923e+00 4.750933e-01 -8.333214e+00
090445.0 1.49991 4.991862e+00 1.186377e-03 -1.169800e-01 -6.891886e+00 4.578695e-01 -8.185604e+00
090456.3 1.87497 4.991828e+00 1.159676e-03 -1.264565e-01 -6.748944e+00 4.559098e-01 -8.038153e+00
090504.0 2.2499 4.991830e+00 1.182913e-03 -1.360497e-01 -6.560189e+00 4.356680e-01 -7.878497e+00
090512.5 2.62477 4.991825e+00 1.244956e-03 -1.538659e-01 -6.399513e+00 4.249496e-01 -7.740534e+00
090521.7 2.99989 4.991808e+00 1.341244e-03 -1.758775e-01 -6.267320e+00 3.905935e-01 -7.629487e+00
090530.2 3.37482 4.991830e+00 1.453944e-03 -1.867428e-01 -6.127879e+00 3.445509e-01 -7.523036e+00
090539.8 3.75019 4.991825e+00 1.543655e-03 -1.988042e-01 -5.954307e+00 3.189903e-01 -7.405966e+00
090549.3 4.12506 4.991845e+00 1.576832e-03 -2.311180e-01 -5.804339e+00 2.971475e-01 -7.266523e+00
090557.5 4.49974 4.991823e+00 1.569623e-03 -2.588242e-01 -5.702229e+00 2.884093e-01 -7.160689e+00
090607.7 4.87518 4.991827e+00 1.556633e-03 -3.063593e-01 -5.575831e+00 2.659046e-01 -7.014992e+00
090620.0 5.24909 4.991806e+00 1.569493e-03 -3.160733e-01 -5.395648e+00 2.336419e-01 -6.868778e+00
090628.9 5.6258 4.991806e+00 1.554619e-03 -3.200256e-01 -5.231695e+00 2.296446e-01 -6.724657e+00
090640.1 6.00009 4.991838e+00 1.522760e-03 -3.160125e-01 -5.110088e+00 2.194004e-01 -6.610023e+00
090652.4 6.37446 4.991862e+00 1.513038e-03 -3.272860e-01 -4.964359e+00 2.026009e-01 -6.471135e+00
090705.1 6.74952 4.991841e+00 1.526902e-03 -3.459149e-01 -4.804998e+00 1.864980e-01 -6.319350e+00
090713.3 7.12426 4.991841e+00 1.545935e-03 -3.498279e-01 -4.675143e+00 1.767368e-01 -6.182819e+00
090721.1 7.4997 4.991859e+00 1.554558e-03 -3.874525e-01 -4.576985e+00 1.553395e-01 -6.067087e+00
090728.9 7.87507 4.991812e+00 1.562061e-03 -4.311474e-01 -4.496637e+00 1.324743e-01 -5.951317e+00
090739.5 8.25013 4.991819e+00 1.576813e-03 -4.371726e-01 -4.369085e+00 1.172285e-01 -5.806541e+00
090750.5 8.625 4.991824e+00 1.578555e-03 -4.415296e-01 -4.241110e+00 1.053837e-01 -5.669647e+00
090801.1 9.00025 4.991837e+00 1.560958e-03 -4.653475e-01 -4.133937e+00 9.421074e-02 -5.545949e+00
090813.7 9.37402 4.991839e+00 1.547658e-03 -4.883308e-01 -4.017068e+00 8.609211e-02 -5.421625e+00
090827.4 9.74965 4.991795e+00 1.546633e-03 -5.199842e-01 -3.864522e+00 7.690808e-02 -5.281091e+00
