% Fogale DL Rail Calibration results.
% DL=3, Date=2016-03-23T08:41:48
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7D0-011
% WPS-Sensor tunnel end: WPS-2D-7D0-012
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084515.3 1.12524 4.991853e+00 1.211477e-03 -1.063885e-01 -7.057093e+00 4.767428e-01 -8.334191e+00
084525.5 1.49972 4.991820e+00 1.187593e-03 -1.176932e-01 -6.892657e+00 4.595214e-01 -8.184931e+00
084536.8 1.87452 4.991873e+00 1.161257e-03 -1.187637e-01 -6.742122e+00 4.577515e-01 -8.037142e+00
084546.6 2.24971 4.991817e+00 1.184960e-03 -1.352252e-01 -6.561286e+00 4.368350e-01 -7.880946e+00
084557.8 2.62527 4.991874e+00 1.247709e-03 -1.550994e-01 -6.401417e+00 4.266905e-01 -7.740585e+00
084606.4 2.99989 4.991847e+00 1.342976e-03 -1.749906e-01 -6.268265e+00 3.927577e-01 -7.628324e+00
084617.2 3.37482 4.991865e+00 1.456271e-03 -1.851569e-01 -6.128896e+00 3.482078e-01 -7.523522e+00
084625.6 3.75007 4.991845e+00 1.544941e-03 -1.999233e-01 -5.954972e+00 3.210850e-01 -7.405865e+00
084633.5 4.125 4.991874e+00 1.579932e-03 -2.270109e-01 -5.801989e+00 2.996531e-01 -7.267695e+00
084641.7 4.49955 4.991832e+00 1.568429e-03 -2.657365e-01 -5.712804e+00 2.914673e-01 -7.162702e+00
084652.4 4.87518 4.991825e+00 1.557546e-03 -3.116516e-01 -5.585393e+00 2.690874e-01 -7.015179e+00
084703.8 5.25036 4.991849e+00 1.570089e-03 -3.146771e-01 -5.397116e+00 2.361905e-01 -6.866955e+00
084712.7 5.62485 4.991847e+00 1.554885e-03 -3.153134e-01 -5.233124e+00 2.318601e-01 -6.726742e+00
084721.8 6.00009 4.991815e+00 1.524990e-03 -3.101966e-01 -5.106680e+00 2.215558e-01 -6.610167e+00
084732.9 6.37472 4.991823e+00 1.513577e-03 -3.271452e-01 -4.966446e+00 2.042241e-01 -6.472380e+00
084741.8 6.75009 4.991832e+00 1.528885e-03 -3.506874e-01 -4.816545e+00 1.901051e-01 -6.322312e+00
084753.4 7.12483 4.991838e+00 1.547305e-03 -3.530096e-01 -4.683063e+00 1.822923e-01 -6.183509e+00
084802.8 7.50046 4.991843e+00 1.555534e-03 -3.904274e-01 -4.584996e+00 1.588430e-01 -6.069566e+00
084812.1 7.87596 4.991849e+00 1.563199e-03 -4.285110e-01 -4.498504e+00 1.367710e-01 -5.955716e+00
084820.8 8.25026 4.991864e+00 1.577194e-03 -4.403801e-01 -4.374226e+00 1.193940e-01 -5.810237e+00
084829.3 8.62468 4.991854e+00 1.580486e-03 -4.472148e-01 -4.252866e+00 1.096834e-01 -5.674933e+00
