% Fogale DL Rail Calibration results.
% DL=3, Date=2016-03-23T09:38:50
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-2D-7D0-011
% WPS-Sensor tunnel end: WPS-2D-7D0-012
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093918.3 118.865 4.991847e+00 1.377169e-03 -4.603829e+00 -3.791584e+00 -4.069045e+00 -7.538029e+00
093928.1 118.499 4.991830e+00 1.363930e-03 -4.606883e+00 -3.693178e+00 -4.046760e+00 -7.436009e+00
093936.4 118.125 4.991832e+00 1.363700e-03 -4.588077e+00 -3.564433e+00 -4.020646e+00 -7.318003e+00
093945.0 117.749 4.991838e+00 1.350696e-03 -4.561079e+00 -3.448916e+00 -3.989515e+00 -7.197951e+00
093953.3 117.375 4.991830e+00 1.331032e-03 -4.531810e+00 -3.326872e+00 -3.975194e+00 -7.085908e+00
094001.5 117.001 4.991917e+00 1.342127e-03 -4.516799e+00 -3.179881e+00 -3.966866e+00 -6.940542e+00
094013.6 116.625 4.991807e+00 1.353216e-03 -4.512623e+00 -3.032347e+00 -3.951766e+00 -6.790674e+00
094021.1 116.25 4.991832e+00 1.343639e-03 -4.516369e+00 -2.919579e+00 -3.938490e+00 -6.672600e+00
094030.2 115.875 4.991793e+00 1.313638e-03 -4.512248e+00 -2.807621e+00 -3.921013e+00 -6.552715e+00
094037.9 115.501 4.991859e+00 1.315486e-03 -4.486023e+00 -2.673583e+00 -3.894360e+00 -6.398600e+00
094049.5 115.125 4.991844e+00 1.347462e-03 -4.472819e+00 -2.536982e+00 -3.883438e+00 -6.264163e+00
094057.9 114.75 4.991832e+00 1.390542e-03 -4.455701e+00 -2.415436e+00 -3.874714e+00 -6.152871e+00
094112.3 114.374 4.991853e+00 1.434944e-03 -4.441155e+00 -2.299795e+00 -3.864763e+00 -6.043267e+00
094120.8 114 4.991809e+00 1.484121e-03 -4.437659e+00 -2.162711e+00 -3.847172e+00 -5.924048e+00
094129.9 113.625 4.991843e+00 1.509166e-03 -4.429068e+00 -2.016919e+00 -3.828355e+00 -5.789319e+00
094142.0 113.25 4.991855e+00 1.498139e-03 -4.426122e+00 -1.913666e+00 -3.803419e+00 -5.662350e+00
094150.2 112.875 4.991850e+00 1.483290e-03 -4.400283e+00 -1.802864e+00 -3.776831e+00 -5.543776e+00
094201.7 112.5 4.991854e+00 1.479863e-03 -4.381129e+00 -1.678599e+00 -3.765892e+00 -5.409580e+00
094212.9 112.125 4.991823e+00 1.479839e-03 -4.359842e+00 -1.539957e+00 -3.762453e+00 -5.267814e+00
094226.6 111.75 4.991866e+00 1.472869e-03 -4.350548e+00 -1.437797e+00 -3.752169e+00 -5.146845e+00
094234.8 111.375 4.991882e+00 1.468224e-03 -4.342758e+00 -1.328818e+00 -3.735601e+00 -5.035841e+00
094243.5 111.001 4.991828e+00 1.475036e-03 -4.348504e+00 -1.207082e+00 -3.721550e+00 -4.899574e+00
094252.0 110.625 4.991820e+00 1.501116e-03 -4.346173e+00 -1.073044e+00 -3.706180e+00 -4.763621e+00
094302.6 110.25 4.991807e+00 1.498858e-03 -4.318155e+00 -9.658695e-01 -3.686322e+00 -4.649759e+00
094310.9 109.875 4.991808e+00 1.483938e-03 -4.296511e+00 -8.837011e-01 -3.673623e+00 -4.537290e+00
094322.7 109.5 4.991880e+00 1.473884e-03 -4.271686e+00 -7.569791e-01 -3.671587e+00 -4.409718e+00
094334.1 109.126 4.991834e+00 1.479316e-03 -4.268255e+00 -6.219334e-01 -3.658118e+00 -4.281144e+00
094345.1 108.75 4.991842e+00 1.467667e-03 -4.260882e+00 -5.204785e-01 -3.641372e+00 -4.164475e+00
094353.7 108.375 4.991852e+00 1.447210e-03 -4.256769e+00 -4.248490e-01 -3.625326e+00 -4.058149e+00
094406.3 108 4.991834e+00 1.443528e-03 -4.237569e+00 -3.171126e-01 -3.600235e+00 -3.935941e+00
094420.2 107.626 4.991831e+00 1.442091e-03 -4.216155e+00 -1.938261e-01 -3.583396e+00 -3.810752e+00
094433.2 107.251 4.991845e+00 1.441349e-03 -4.200442e+00 -9.752709e-02 -3.576198e+00 -3.697202e+00
094441.4 106.875 4.991844e+00 1.427136e-03 -4.177759e+00 2.509810e-03 -3.566613e+00 -3.596362e+00
094453.0 106.501 4.991857e+00 1.423495e-03 -4.177496e+00 1.150053e-01 -3.553909e+00 -3.476562e+00
094500.6 106.126 4.991857e+00 1.412117e-03 -4.169906e+00 2.286792e-01 -3.541905e+00 -3.346086e+00
094510.1 105.75 4.991823e+00 1.384417e-03 -4.162561e+00 3.162734e-01 -3.526134e+00 -3.251141e+00
094519.9 105.375 4.991836e+00 1.363639e-03 -4.138862e+00 4.009164e-01 -3.500009e+00 -3.160480e+00
094547.8 104.991 4.991857e+00 1.373755e-03 -4.119293e+00 5.189163e-01 -3.495474e+00 -3.042686e+00
094603.4 104.625 4.991851e+00 1.388473e-03 -4.108921e+00 6.352725e-01 -3.491196e+00 -2.916154e+00
094611.5 104.25 4.991829e+00 1.394586e-03 -4.096343e+00 7.278015e-01 -3.478371e+00 -2.812760e+00
094619.8 103.875 4.991834e+00 1.386015e-03 -4.090050e+00 8.166566e-01 -3.461826e+00 -2.714081e+00
094630.4 103.5 4.991819e+00 1.386309e-03 -4.086157e+00 9.188034e-01 -3.444996e+00 -2.602201e+00
094642.1 103.125 4.991834e+00 1.387708e-03 -4.068188e+00 1.034042e+00 -3.425146e+00 -2.488276e+00
094655.0 102.75 4.991829e+00 1.371303e-03 -4.039920e+00 1.121860e+00 -3.407378e+00 -2.395175e+00
094703.8 102.376 4.991828e+00 1.360756e-03 -4.023026e+00 1.199416e+00 -3.399880e+00 -2.299258e+00
