% Fogale DL Rail Calibration results.
% DL=4, Date=2016-03-10T09:34:48
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-005
% WPS-Sensor tunnel end: WPS-7D6-006
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093605.2 1.12504 4.997754e+00 -3.725737e-04 1.549191e+00 -1.018475e+01 -5.876276e-01 -9.738599e+00
093628.2 1.49057 4.997755e+00 -2.587133e-04 1.530720e+00 -1.000379e+01 -6.154475e-01 -9.643072e+00
093638.3 1.87497 4.997740e+00 -1.298503e-04 1.508238e+00 -9.865433e+00 -6.375214e-01 -9.547568e+00
093654.5 2.25003 4.997743e+00 -1.095661e-05 1.478589e+00 -9.732817e+00 -6.643523e-01 -9.440714e+00
093706.7 2.62578 4.997736e+00 3.660948e-05 1.465040e+00 -9.589181e+00 -6.799550e-01 -9.306700e+00
093720.7 3.00001 4.997738e+00 9.834080e-06 1.469819e+00 -9.459351e+00 -6.909292e-01 -9.181707e+00
093732.6 3.37476 4.997774e+00 -2.539070e-05 1.472893e+00 -9.287172e+00 -7.035223e-01 -9.024171e+00
093741.1 3.74937 4.997773e+00 -4.759681e-05 1.464996e+00 -9.093331e+00 -7.222547e-01 -8.836287e+00
093749.1 4.12481 4.997787e+00 -6.067060e-05 1.450303e+00 -8.938964e+00 -7.302759e-01 -8.679621e+00
093756.8 4.50006 4.997777e+00 -7.708098e-05 1.438959e+00 -8.831175e+00 -7.443778e-01 -8.541037e+00
093808.0 4.87518 4.997757e+00 -6.916239e-05 1.421780e+00 -8.696850e+00 -7.499734e-01 -8.411276e+00
093817.6 5.24985 4.997716e+00 -5.044525e-05 1.441586e+00 -8.582618e+00 -7.694262e-01 -8.272548e+00
