% Fogale DL Rail Calibration results.
% DL=4, Date=2016-03-11T09:03:58
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-005
% WPS-Sensor tunnel end: WPS-7D6-006
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090548.7 1.12498 4.997761e+00 -3.559141e-04 1.548113e+00 -1.018469e+01 -5.869009e-01 -9.738722e+00
090556.7 1.50099 4.997777e+00 -2.396751e-04 1.529367e+00 -1.000050e+01 -6.136617e-01 -9.641283e+00
090605.5 1.87548 4.997771e+00 -1.159055e-04 1.507801e+00 -9.865269e+00 -6.385484e-01 -9.547840e+00
090616.4 2.24939 4.997754e+00 4.020268e-06 1.477596e+00 -9.733444e+00 -6.648305e-01 -9.442137e+00
090631.4 2.62597 4.997751e+00 5.105570e-05 1.464504e+00 -9.589372e+00 -6.810827e-01 -9.307321e+00
090656.9 2.99302 4.997740e+00 2.505505e-05 1.468858e+00 -9.461608e+00 -6.918517e-01 -9.185599e+00
090708.6 3.37482 4.997769e+00 -1.046253e-05 1.472324e+00 -9.287750e+00 -7.047481e-01 -9.024691e+00
090722.1 3.74911 4.997776e+00 -3.075300e-05 1.463578e+00 -9.093188e+00 -7.227562e-01 -8.836383e+00
090733.2 4.12506 4.997773e+00 -4.647433e-05 1.448993e+00 -8.939471e+00 -7.315806e-01 -8.679716e+00
090741.4 4.49999 4.997782e+00 -6.253754e-05 1.437451e+00 -8.832123e+00 -7.448875e-01 -8.541129e+00
090750.0 4.87518 4.997734e+00 -5.392285e-05 1.420128e+00 -8.697429e+00 -7.535425e-01 -8.412143e+00
090758.3 5.25042 4.997746e+00 -3.495008e-05 1.440144e+00 -8.583141e+00 -7.708838e-01 -8.273197e+00
090807.9 5.62542 4.997733e+00 -4.580910e-05 1.458321e+00 -8.496432e+00 -7.692962e-01 -8.124714e+00
090817.8 6.00048 4.997739e+00 -8.257706e-05 1.444553e+00 -8.426828e+00 -7.899516e-01 -8.012708e+00
090827.9 6.37504 4.997760e+00 -9.464509e-05 1.422093e+00 -8.357198e+00 -8.046959e-01 -7.903712e+00
090839.4 6.74984 4.997711e+00 -6.949103e-05 1.392921e+00 -8.245785e+00 -8.276022e-01 -7.767590e+00
090848.2 7.12521 4.997740e+00 -5.273925e-05 1.380253e+00 -8.110748e+00 -8.407299e-01 -7.625279e+00
090855.7 7.5004 4.997749e+00 -7.057749e-05 1.375779e+00 -7.998356e+00 -8.432364e-01 -7.502670e+00
090904.5 7.87526 4.997693e+00 -8.953727e-05 1.360615e+00 -7.853050e+00 -8.528151e-01 -7.374394e+00
090917.0 8.24867 4.997782e+00 -7.712357e-05 1.359184e+00 -7.676307e+00 -8.612764e-01 -7.227698e+00
090930.0 8.62392 4.997767e+00 -5.355104e-05 1.363446e+00 -7.496995e+00 -8.729444e-01 -7.081798e+00
090938.8 9.00044 4.997753e+00 -4.703542e-05 1.365077e+00 -7.357435e+00 -8.865050e-01 -6.965643e+00
