% Fogale DL Rail Calibration results.
% DL=4, Date=2016-03-23T08:41:49
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-005
% WPS-Sensor tunnel end: WPS-7D6-006
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084432.9 1.12498 4.997779e+00 -3.884758e-04 1.546198e+00 -1.018246e+01 -5.894989e-01 -9.738245e+00
084446.4 1.50048 4.997787e+00 -2.702761e-04 1.528071e+00 -9.998109e+00 -6.140137e-01 -9.640786e+00
084454.2 1.87586 4.997730e+00 -1.461083e-04 1.506923e+00 -9.863034e+00 -6.373884e-01 -9.547133e+00
084506.5 2.25034 4.997804e+00 -2.522620e-05 1.476429e+00 -9.731695e+00 -6.638479e-01 -9.441360e+00
084521.1 2.62508 4.997773e+00 2.077264e-05 1.462842e+00 -9.588426e+00 -6.799795e-01 -9.307875e+00
084535.4 3.00008 4.997773e+00 -8.766570e-06 1.467213e+00 -9.458423e+00 -6.896025e-01 -9.183299e+00
084558.3 3.36529 4.997757e+00 -4.093521e-05 1.472266e+00 -9.294287e+00 -7.053305e-01 -9.029043e+00
084609.9 3.74988 4.997792e+00 -6.206769e-05 1.462560e+00 -9.092502e+00 -7.205373e-01 -8.837742e+00
084621.1 4.125 4.997738e+00 -7.761135e-05 1.448469e+00 -8.938443e+00 -7.300409e-01 -8.681162e+00
084629.4 4.50006 4.997789e+00 -9.235111e-05 1.436969e+00 -8.831573e+00 -7.401803e-01 -8.542878e+00
084637.8 4.87486 4.997765e+00 -8.438958e-05 1.419480e+00 -8.697619e+00 -7.486647e-01 -8.413811e+00
084646.4 5.25036 4.997753e+00 -6.669757e-05 1.439302e+00 -8.583366e+00 -7.665644e-01 -8.275662e+00
084655.4 5.6251 4.997794e+00 -7.773451e-05 1.457553e+00 -8.497058e+00 -7.638230e-01 -8.128058e+00
084704.8 6.00073 4.997787e+00 -1.145637e-04 1.443605e+00 -8.427467e+00 -7.839176e-01 -8.015547e+00
084715.4 6.37542 4.997786e+00 -1.236963e-04 1.420780e+00 -8.358141e+00 -7.972335e-01 -7.906804e+00
084723.5 6.74914 4.997755e+00 -9.941531e-05 1.392250e+00 -8.247854e+00 -8.182946e-01 -7.771373e+00
084731.9 7.12471 4.997775e+00 -8.374321e-05 1.378617e+00 -8.113256e+00 -8.348151e-01 -7.629219e+00
084740.3 7.50021 4.997820e+00 -1.028267e-04 1.375151e+00 -7.999641e+00 -8.378244e-01 -7.506682e+00
084748.8 7.87495 4.997772e+00 -1.205354e-04 1.359531e+00 -7.855003e+00 -8.451684e-01 -7.379307e+00
084810.6 8.24003 4.997723e+00 -1.095174e-04 1.360035e+00 -7.683638e+00 -8.570146e-01 -7.236142e+00
084823.2 8.62392 4.997798e+00 -8.305395e-05 1.364158e+00 -7.499516e+00 -8.652342e-01 -7.087320e+00
084831.8 9.00006 4.997769e+00 -7.756922e-05 1.364532e+00 -7.359921e+00 -8.784506e-01 -6.971438e+00
084846.8 9.37491 4.997711e+00 -8.174700e-05 1.338341e+00 -7.242765e+00 -8.971669e-01 -6.844939e+00
084855.0 9.74965 4.997699e+00 -7.604327e-05 1.317437e+00 -7.102600e+00 -9.064910e-01 -6.702965e+00
084903.1 10.1248 4.997769e+00 -7.874657e-05 1.330345e+00 -6.952513e+00 -9.138342e-01 -6.557551e+00
084911.7 10.4997 4.997831e+00 -8.138307e-05 1.322032e+00 -6.808804e+00 -9.174522e-01 -6.435310e+00
084924.7 10.875 4.997782e+00 -7.290870e-05 1.317949e+00 -6.676676e+00 -9.277644e-01 -6.324404e+00
084933.0 11.2492 4.997804e+00 -4.346709e-05 1.299625e+00 -6.533871e+00 -9.445464e-01 -6.180751e+00
084943.0 11.6252 4.997853e+00 -1.535542e-05 1.281843e+00 -6.393783e+00 -1.032974e+00 -6.164030e+00
084952.1 11.9994 4.997756e+00 -3.111315e-07 1.267492e+00 -6.268864e+00 -9.746612e-01 -5.939121e+00
085003.6 12.375 4.997796e+00 -4.002012e-06 1.262200e+00 -6.152786e+00 -9.832561e-01 -5.826510e+00
