% Fogale DL Rail Calibration results.
% DL=4, Date=2016-03-23T09:42:39
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-005
% WPS-Sensor tunnel end: WPS-7D6-006
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
094244.0 118.875 4.997829e+00 2.483578e-04 -1.941815e+00 -5.068374e+00 -4.334766e+00 -7.108367e+00
094254.2 118.5 4.997817e+00 1.663463e-04 -1.908405e+00 -4.960923e+00 -4.308883e+00 -6.940532e+00
094306.7 118.126 4.997815e+00 1.005937e-04 -1.879829e+00 -4.831396e+00 -4.282808e+00 -6.768009e+00
094315.6 117.751 4.997849e+00 3.936782e-05 -1.856724e+00 -4.736802e+00 -4.250003e+00 -6.632141e+00
094324.4 117.375 4.997829e+00 -2.745295e-07 -1.833955e+00 -4.624762e+00 -4.219185e+00 -6.508739e+00
094332.9 117 4.997760e+00 -6.704551e-06 -1.815647e+00 -4.497680e+00 -4.189720e+00 -6.374396e+00
094341.7 116.626 4.997845e+00 3.788518e-06 -1.809007e+00 -4.369487e+00 -4.177515e+00 -6.257193e+00
094350.8 116.25 4.997870e+00 1.449528e-05 -1.799670e+00 -4.260715e+00 -4.146143e+00 -6.140385e+00
094359.4 115.875 4.997782e+00 3.853756e-05 -1.790830e+00 -4.142928e+00 -4.128740e+00 -6.036696e+00
094409.6 115.5 4.997773e+00 8.990432e-05 -1.771868e+00 -4.016120e+00 -4.113320e+00 -5.913968e+00
094417.6 115.125 4.997754e+00 1.387215e-04 -1.757372e+00 -3.881505e+00 -4.095345e+00 -5.792044e+00
094430.9 114.75 4.997788e+00 1.549931e-04 -1.736658e+00 -3.775289e+00 -4.064924e+00 -5.683850e+00
094441.0 114.375 4.997851e+00 1.667251e-04 -1.720988e+00 -3.672983e+00 -4.037762e+00 -5.587194e+00
094449.8 114.001 4.997796e+00 2.011007e-04 -1.708040e+00 -3.549210e+00 -4.014052e+00 -5.464032e+00
094503.3 113.625 4.997789e+00 2.315918e-04 -1.706990e+00 -3.423653e+00 -3.996627e+00 -5.337971e+00
094511.3 113.25 4.997763e+00 2.242206e-04 -1.700187e+00 -3.331535e+00 -3.984446e+00 -5.240204e+00
094521.4 112.875 4.997780e+00 2.000213e-04 -1.681576e+00 -3.244073e+00 -3.965632e+00 -5.142266e+00
094533.5 112.501 4.997821e+00 1.958866e-04 -1.662401e+00 -3.126588e+00 -3.946590e+00 -5.015872e+00
094545.7 112.125 4.997792e+00 2.075624e-04 -1.645456e+00 -3.001531e+00 -3.930555e+00 -4.889328e+00
094611.1 111.741 4.997787e+00 2.041261e-04 -1.629073e+00 -2.905025e+00 -3.921395e+00 -4.768982e+00
094621.0 111.375 4.997781e+00 1.913945e-04 -1.620199e+00 -2.808678e+00 -3.902714e+00 -4.661694e+00
094648.6 110.99 4.997812e+00 2.058845e-04 -1.621015e+00 -2.684843e+00 -3.898270e+00 -4.532492e+00
094710.6 110.615 4.997830e+00 2.248588e-04 -1.612828e+00 -2.560411e+00 -3.881364e+00 -4.408176e+00
094718.5 110.25 4.997752e+00 2.189933e-04 -1.600376e+00 -2.472793e+00 -3.873876e+00 -4.312475e+00
094728.4 109.875 4.997798e+00 2.014183e-04 -1.574810e+00 -2.395680e+00 -3.853617e+00 -4.218376e+00
094740.9 109.501 4.997805e+00 2.041150e-04 -1.549028e+00 -2.278978e+00 -3.840999e+00 -4.105132e+00
094752.3 109.125 4.997807e+00 2.252111e-04 -1.535381e+00 -2.150021e+00 -3.826744e+00 -3.979514e+00
094800.9 108.75 4.997836e+00 2.247549e-04 -1.536300e+00 -2.063041e+00 -3.820696e+00 -3.880109e+00
094814.0 108.377 4.997819e+00 2.225409e-04 -1.532215e+00 -1.975410e+00 -3.814590e+00 -3.793231e+00
094841.1 107.991 4.997830e+00 2.293843e-04 -1.515569e+00 -1.871514e+00 -3.798588e+00 -3.673752e+00
094849.6 107.625 4.997793e+00 2.243627e-04 -1.497412e+00 -1.762763e+00 -3.785972e+00 -3.560427e+00
094857.1 107.25 4.997790e+00 1.943535e-04 -1.480987e+00 -1.681389e+00 -3.765648e+00 -3.468966e+00
094905.2 106.875 4.997823e+00 1.568049e-04 -1.460356e+00 -1.599133e+00 -3.754639e+00 -3.374454e+00
094917.1 106.501 4.997815e+00 1.423282e-04 -1.448726e+00 -1.491583e+00 -3.737682e+00 -3.259630e+00
094925.1 106.125 4.997849e+00 1.474961e-04 -1.449371e+00 -1.377290e+00 -3.736940e+00 -3.142543e+00
094934.2 105.75 4.997777e+00 1.522716e-04 -1.438926e+00 -1.296961e+00 -3.722986e+00 -3.046804e+00
094946.2 105.374 4.997817e+00 1.517112e-04 -1.424804e+00 -1.220561e+00 -3.717350e+00 -2.972066e+00
095017.9 104.991 4.997849e+00 1.538355e-04 -1.401888e+00 -1.120612e+00 -3.705822e+00 -2.856886e+00
095026.3 104.625 4.997833e+00 1.364846e-04 -1.385572e+00 -1.018016e+00 -3.684561e+00 -2.741409e+00
095036.2 104.25 4.997854e+00 8.496474e-05 -1.365054e+00 -9.508374e-01 -3.670351e+00 -2.655560e+00
095046.0 103.875 4.997838e+00 6.362373e-05 -1.360174e+00 -8.797429e-01 -3.663271e+00 -2.574083e+00
095057.9 103.501 4.997803e+00 9.310781e-05 -1.357918e+00 -7.791383e-01 -3.653691e+00 -2.472592e+00
095109.8 103.125 4.997845e+00 1.339953e-04 -1.350333e+00 -6.715885e-01 -3.643248e+00 -2.362723e+00
095119.7 102.75 4.997800e+00 1.537664e-04 -1.329283e+00 -5.972255e-01 -3.634607e+00 -2.274061e+00
095128.7 102.375 4.997796e+00 1.499230e-04 -1.311375e+00 -5.218964e-01 -3.618809e+00 -2.190602e+00
095138.3 102 4.997817e+00 1.388689e-04 -1.294634e+00 -4.309607e-01 -3.612445e+00 -2.090499e+00
095147.0 101.626 4.997803e+00 1.224394e-04 -1.282950e+00 -3.310581e-01 -3.595731e+00 -1.984022e+00
095155.6 101.25 4.997798e+00 9.744584e-05 -1.276119e+00 -2.613480e-01 -3.589595e+00 -1.900624e+00
095207.1 100.875 4.997786e+00 7.610540e-05 -1.268428e+00 -1.932373e-01 -3.574409e+00 -1.826458e+00
095219.1 100.501 4.997804e+00 8.672038e-05 -1.251463e+00 -9.853971e-02 -3.563468e+00 -1.732303e+00
095230.0 100.125 4.997815e+00 1.191329e-04 -1.235335e+00 -5.868672e-05 -3.551730e+00 -1.628001e+00
095239.8 99.75 4.997810e+00 1.408458e-04 -1.221921e+00 6.912744e-02 -3.540740e+00 -1.548988e+00
095249.1 99.3755 4.997845e+00 1.424755e-04 -1.211001e+00 1.269365e-01 -3.528398e+00 -1.480959e+00
095317.1 98.991 4.997804e+00 1.541805e-04 -1.197670e+00 2.262198e-01 -3.517971e+00 -1.385949e+00
095325.4 98.6248 4.997827e+00 1.659935e-04 -1.192029e+00 3.127439e-01 -3.506170e+00 -1.289999e+00
095334.5 98.2497 4.997844e+00 1.557501e-04 -1.178264e+00 3.726036e-01 -3.501025e+00 -1.215492e+00
095342.4 97.8758 4.997828e+00 1.458420e-04 -1.162883e+00 4.360299e-01 -3.483525e+00 -1.143070e+00
095354.9 97.5006 4.997780e+00 1.535222e-04 -1.148417e+00 5.167229e-01 -3.475416e+00 -1.053020e+00
095403.0 97.1253 4.997751e+00 1.639837e-04 -1.138178e+00 6.049512e-01 -3.460341e+00 -9.545322e-01
095415.8 96.7503 4.997789e+00 1.639175e-04 -1.124998e+00 6.622881e-01 -3.446205e+00 -8.834109e-01
095424.3 96.3757 4.997822e+00 1.630652e-04 -1.117318e+00 7.197382e-01 -3.442896e+00 -8.156456e-01
095435.9 96.0001 4.997798e+00 1.705375e-04 -1.114573e+00 7.925212e-01 -3.430447e+00 -7.261149e-01
095449.3 95.6255 4.997782e+00 1.694135e-04 -1.098857e+00 8.764022e-01 -3.420453e+00 -6.322382e-01
095457.1 95.2498 4.997818e+00 1.376741e-04 -1.080586e+00 9.364606e-01 -3.408885e+00 -5.745380e-01
095506.5 94.8749 4.997845e+00 1.005513e-04 -1.062786e+00 9.856385e-01 -3.393758e+00 -5.201930e-01
095518.9 94.5003 4.997801e+00 7.336040e-05 -1.041930e+00 1.060493e+00 -3.378896e+00 -4.289921e-01
095526.6 94.1259 4.997808e+00 7.415954e-05 -1.038398e+00 1.141563e+00 -3.362311e+00 -3.422482e-01
095536.6 93.7496 4.997853e+00 6.888315e-05 -1.027934e+00 1.201142e+00 -3.357462e+00 -2.802056e-01
095545.4 93.3757 4.997769e+00 4.580950e-05 -1.017737e+00 1.250075e+00 -3.344364e+00 -2.275046e-01
095601.8 93 4.997803e+00 3.413321e-05 -1.001051e+00 1.319937e+00 -3.327651e+00 -1.501068e-01
095613.4 92.6248 4.997804e+00 4.041679e-05 -9.847341e-01 1.391823e+00 -3.320025e+00 -7.461042e-02
095622.2 92.2493 4.997792e+00 4.125858e-05 -9.662814e-01 1.443542e+00 -3.304205e+00 -1.214940e-02
095634.2 91.8756 4.997835e+00 1.637425e-05 -9.503601e-01 1.487749e+00 -3.292968e+00 4.324913e-02
095644.5 91.4998 4.997815e+00 5.881011e-06 -9.489687e-01 1.553295e+00 -3.282664e+00 1.101057e-01
095655.2 91.125 4.997784e+00 -3.263842e-06 -9.393700e-01 1.626200e+00 -3.269345e+00 1.896566e-01
095705.0 90.7498 4.997770e+00 -1.894228e-05 -9.256137e-01 1.666574e+00 -3.261274e+00 2.438788e-01
095717.6 90.3758 4.997839e+00 -2.870366e-05 -9.027468e-01 1.711378e+00 -3.242203e+00 2.994916e-01
095731.1 90.0015 4.997781e+00 -1.905839e-05 -8.853929e-01 1.780397e+00 -3.234032e+00 3.710130e-01
095744.6 89.6258 4.997827e+00 -4.099644e-06 -8.736407e-01 1.853159e+00 -3.221753e+00 4.494736e-01
095753.4 89.25 4.997830e+00 -1.293342e-05 -8.628214e-01 1.897672e+00 -3.207368e+00 5.039838e-01
095805.0 88.8753 4.997821e+00 -2.689163e-05 -8.649425e-01 1.930542e+00 -3.201635e+00 5.583515e-01
095816.5 88.5003 4.997851e+00 -2.562900e-05 -8.486397e-01 1.993670e+00 -3.191162e+00 6.244080e-01
095829.2 88.1257 4.997781e+00 -1.966224e-05 -8.373805e-01 2.063741e+00 -3.186022e+00 6.930889e-01
095840.5 87.7493 4.997817e+00 -2.020536e-05 -8.168320e-01 2.096017e+00 -3.166303e+00 7.431494e-01
095851.5 87.3752 4.997799e+00 -3.876344e-05 -7.980008e-01 2.124089e+00 -3.159624e+00 7.846050e-01
095904.3 87.0004 4.997805e+00 -3.795814e-05 -7.831849e-01 2.179828e+00 -3.148821e+00 8.482234e-01
095918.7 86.6259 4.997821e+00 -2.755676e-05 -7.830030e-01 2.246367e+00 -3.139755e+00 9.197240e-01
095926.9 86.2502 4.997828e+00 -2.467122e-05 -7.770705e-01 2.284708e+00 -3.130030e+00 9.637496e-01
095939.1 85.8754 4.997797e+00 -1.661810e-05 -7.623471e-01 2.315790e+00 -3.108930e+00 1.007743e+00
095951.5 85.5007 4.997787e+00 4.044713e-06 -7.471703e-01 2.369645e+00 -3.095218e+00 1.069516e+00
