% Fogale DL Rail Calibration results.
% DL=5, Date=2016-03-10T09:34:49
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-003
% WPS-Sensor tunnel end: WPS-7D6-004
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093552.9 1.12536 4.999798e+00 3.604867e-03 3.080141e+00 -7.278828e+00 -7.811907e-01 -4.542016e+00
093605.8 1.50004 4.999755e+00 3.599344e-03 3.052129e+00 -7.129831e+00 -8.064202e-01 -4.414171e+00
093617.5 1.87427 4.999749e+00 3.623810e-03 3.025000e+00 -6.966226e+00 -8.374042e-01 -4.285147e+00
093630.1 2.24933 4.999750e+00 3.649447e-03 2.991177e+00 -6.774718e+00 -8.667899e-01 -4.129658e+00
093638.7 2.62458 4.999775e+00 3.674165e-03 2.984689e+00 -6.614643e+00 -8.823720e-01 -3.982911e+00
093646.9 2.9997 4.999723e+00 3.666262e-03 2.962576e+00 -6.479628e+00 -8.948247e-01 -3.855191e+00
093659.5 3.37517 4.999781e+00 3.645000e-03 2.952716e+00 -6.349875e+00 -9.112871e-01 -3.716406e+00
093708.0 3.74978 4.999781e+00 3.621962e-03 2.939394e+00 -6.196124e+00 -9.197723e-01 -3.577062e+00
093720.3 4.12529 4.999787e+00 3.585142e-03 2.932905e+00 -6.051455e+00 -9.182236e-01 -3.432791e+00
093732.2 4.49952 4.999744e+00 3.561270e-03 2.898506e+00 -5.911503e+00 -9.339253e-01 -3.319887e+00
093740.4 4.87445 4.999742e+00 3.574236e-03 2.860457e+00 -5.767356e+00 -9.533615e-01 -3.188491e+00
093752.3 5.25008 4.999750e+00 3.615419e-03 2.841709e+00 -5.598535e+00 -9.678747e-01 -3.051835e+00
093817.2 5.61547 4.999773e+00 3.625466e-03 2.820382e+00 -5.452006e+00 -9.637238e-01 -2.912761e+00
093826.1 5.99949 4.999767e+00 3.626680e-03 2.817172e+00 -5.338517e+00 -9.762914e-01 -2.805782e+00
093840.1 6.37415 4.999784e+00 3.626658e-03 2.796520e+00 -5.211903e+00 -9.764877e-01 -2.683793e+00
093853.8 6.74985 4.999751e+00 3.629512e-03 2.788554e+00 -5.063416e+00 -9.776600e-01 -2.544238e+00
093902.3 7.12497 4.999758e+00 3.632286e-03 2.803536e+00 -4.927732e+00 -9.826523e-01 -2.412495e+00
