% Fogale DL Rail Calibration results.
% DL=5, Date=2016-03-11T09:04:00
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-003
% WPS-Sensor tunnel end: WPS-7D6-004
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090656.4 1.12504 4.999638e+00 3.602691e-03 3.077169e+00 -7.277967e+00 -7.782648e-01 -4.540892e+00
090708.1 1.49959 4.999701e+00 3.594938e-03 3.050067e+00 -7.134006e+00 -8.091484e-01 -4.417204e+00
090717.6 1.87446 4.999679e+00 3.621329e-03 3.023538e+00 -6.968039e+00 -8.364418e-01 -4.285608e+00
090730.3 2.24914 4.999692e+00 3.647573e-03 2.991841e+00 -6.779440e+00 -8.647630e-01 -4.131811e+00
090742.9 2.62438 4.999702e+00 3.671677e-03 2.982942e+00 -6.617301e+00 -8.833581e-01 -3.984290e+00
090755.3 3.00008 4.999662e+00 3.661373e-03 2.959134e+00 -6.478043e+00 -8.967928e-01 -3.854323e+00
090806.6 3.37466 4.999686e+00 3.641201e-03 2.951783e+00 -6.354038e+00 -9.151105e-01 -3.718934e+00
090820.2 3.74991 4.999701e+00 3.620118e-03 2.938527e+00 -6.196647e+00 -9.261493e-01 -3.576728e+00
090831.4 4.12509 4.999675e+00 3.584963e-03 2.928022e+00 -6.052281e+00 -9.240710e-01 -3.434962e+00
090843.0 4.4999 4.999655e+00 3.558227e-03 2.896422e+00 -5.914877e+00 -9.385571e-01 -3.321470e+00
090855.0 4.87426 4.999684e+00 3.569772e-03 2.858024e+00 -5.767803e+00 -9.553909e-01 -3.188907e+00
090907.3 5.25046 4.999676e+00 3.611437e-03 2.838879e+00 -5.600483e+00 -9.745381e-01 -3.053018e+00
090915.2 5.62526 4.999682e+00 3.623516e-03 2.820650e+00 -5.450877e+00 -9.754622e-01 -2.911803e+00
090924.4 5.99936 4.999662e+00 3.624345e-03 2.813146e+00 -5.341230e+00 -9.844062e-01 -2.806717e+00
090938.4 6.37473 4.999704e+00 3.622733e-03 2.793216e+00 -5.213145e+00 -9.810708e-01 -2.685436e+00
090951.7 6.74921 4.999683e+00 3.627133e-03 2.785441e+00 -5.063626e+00 -9.824165e-01 -2.544822e+00
091000.2 7.1249 4.999682e+00 3.629169e-03 2.801554e+00 -4.932104e+00 -9.917137e-01 -2.414961e+00
091010.5 7.50041 4.999669e+00 3.620212e-03 2.787030e+00 -4.801703e+00 -9.935849e-01 -2.299427e+00
091023.1 7.87476 4.999677e+00 3.614397e-03 2.771934e+00 -4.682544e+00 -1.001607e+00 -2.190314e+00
091030.9 8.2495 4.999688e+00 3.629462e-03 2.766925e+00 -4.525859e+00 -9.995122e-01 -2.055399e+00
091040.2 8.62488 4.999680e+00 3.647282e-03 2.781058e+00 -4.389911e+00 -1.002465e+00 -1.935268e+00
091053.1 8.99962 4.999684e+00 3.649935e-03 2.770437e+00 -4.264002e+00 -1.004508e+00 -1.823576e+00
091107.2 9.3739 4.999696e+00 3.649371e-03 2.768005e+00 -4.155079e+00 -1.012964e+00 -1.714459e+00
091121.1 9.74991 4.999683e+00 3.649209e-03 2.755359e+00 -4.016425e+00 -1.025878e+00 -1.579922e+00
091130.7 10.125 4.999684e+00 3.643424e-03 2.751510e+00 -3.881845e+00 -1.024663e+00 -1.458427e+00
