% Fogale DL Rail Calibration results.
% DL=5, Date=2016-03-23T08:41:51
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-003
% WPS-Sensor tunnel end: WPS-7D6-004
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084403.7 1.12504 4.999678e+00 3.604167e-03 3.074909e+00 -7.286965e+00 -7.836973e-01 -4.550559e+00
084413.6 1.49972 4.999686e+00 3.596524e-03 3.045057e+00 -7.135392e+00 -8.088654e-01 -4.423304e+00
084423.5 1.8756 4.999709e+00 3.617026e-03 3.017905e+00 -6.969742e+00 -8.383697e-01 -4.291150e+00
084436.4 2.24888 4.999708e+00 3.642896e-03 2.984249e+00 -6.780629e+00 -8.739061e-01 -4.138103e+00
084444.4 2.624 4.999702e+00 3.668954e-03 2.977274e+00 -6.621176e+00 -8.885238e-01 -3.992374e+00
084454.6 3.00014 4.999703e+00 3.659678e-03 2.955706e+00 -6.484617e+00 -8.967585e-01 -3.863621e+00
084505.3 3.37441 4.999692e+00 3.640212e-03 2.948169e+00 -6.360631e+00 -9.097152e-01 -3.728310e+00
084519.0 3.74966 4.999728e+00 3.617300e-03 2.934828e+00 -6.203746e+00 -9.238066e-01 -3.585609e+00
084526.6 4.1249 4.999707e+00 3.577550e-03 2.923483e+00 -6.058363e+00 -9.261298e-01 -3.440383e+00
084538.5 4.49977 4.999730e+00 3.541660e-03 2.892572e+00 -5.921893e+00 -9.448049e-01 -3.324348e+00
084550.1 4.87394 4.999720e+00 3.546029e-03 2.855487e+00 -5.775718e+00 -9.633868e-01 -3.189079e+00
084558.7 5.24995 4.999736e+00 3.584318e-03 2.836862e+00 -5.608433e+00 -9.749173e-01 -3.051287e+00
084607.4 5.62469 4.999710e+00 3.593776e-03 2.821275e+00 -5.462036e+00 -9.701365e-01 -2.909618e+00
084616.8 5.99956 4.999714e+00 3.597748e-03 2.812090e+00 -5.349179e+00 -9.780818e-01 -2.807419e+00
084631.0 6.37422 4.999694e+00 3.606360e-03 2.788177e+00 -5.217889e+00 -9.812848e-01 -2.687280e+00
084643.3 6.75029 4.999742e+00 3.618308e-03 2.782722e+00 -5.074348e+00 -9.861249e-01 -2.552320e+00
084654.4 7.12516 4.999727e+00 3.631255e-03 2.797509e+00 -4.937602e+00 -9.919606e-01 -2.422774e+00
