% Fogale DL Rail Calibration results.
% DL=6, Date=2016-03-10T09:34:51
% Tunnel Temperature=17.94 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=che
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-001
% WPS-Sensor tunnel end: WPS-7D6-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093532.2 1.12517 4.997498e+00 2.638382e-03 1.842020e+00 -8.865602e+00 -3.109039e+00 -6.505149e+00
093542.4 1.49972 4.997510e+00 2.541532e-03 1.851557e+00 -8.783833e+00 -3.126808e+00 -6.350962e+00
093553.3 1.87433 4.997514e+00 2.433859e-03 1.864004e+00 -8.663759e+00 -3.137974e+00 -6.177432e+00
093606.3 2.24787 4.997479e+00 2.350018e-03 1.899450e+00 -8.514767e+00 -3.149732e+00 -5.994614e+00
093616.8 2.62458 4.997527e+00 2.299347e-03 1.954862e+00 -8.371465e+00 -3.163320e+00 -5.819486e+00
093629.2 3.00027 4.997514e+00 2.266622e-03 1.971033e+00 -8.241635e+00 -3.183384e+00 -5.673109e+00
093644.1 3.37504 4.997505e+00 2.257783e-03 1.980770e+00 -8.086773e+00 -3.222120e+00 -5.531908e+00
093657.1 3.75003 4.997511e+00 2.275439e-03 1.971603e+00 -7.916731e+00 -3.268435e+00 -5.377205e+00
093705.4 4.12477 4.997472e+00 2.266744e-03 1.945844e+00 -7.744489e+00 -3.301105e+00 -5.233913e+00
093713.5 4.49964 4.997530e+00 2.235699e-03 1.900869e+00 -7.605834e+00 -3.343521e+00 -5.099270e+00
093724.8 4.87431 4.997508e+00 2.211353e-03 1.834270e+00 -7.435055e+00 -3.359232e+00 -4.955936e+00
093737.4 5.24905 4.997517e+00 2.215252e-03 1.818533e+00 -7.212432e+00 -3.363010e+00 -4.788330e+00
093751.8 5.62462 4.997480e+00 2.214537e-03 1.810178e+00 -7.017369e+00 -3.352109e+00 -4.640532e+00
093814.2 5.98982 4.997509e+00 2.193991e-03 1.801396e+00 -6.829153e+00 -3.333523e+00 -4.516645e+00
093826.8 6.37484 4.997511e+00 2.171598e-03 1.798463e+00 -6.648364e+00 -3.336648e+00 -4.378054e+00
093841.7 6.74933 4.997507e+00 2.167384e-03 1.761490e+00 -6.450807e+00 -3.348866e+00 -4.224955e+00
093855.0 7.12458 4.997515e+00 2.155610e-03 1.758230e+00 -6.277081e+00 -3.358577e+00 -4.078454e+00
093902.8 7.49932 4.997475e+00 2.147993e-03 1.723408e+00 -6.127596e+00 -3.363476e+00 -3.953567e+00
093915.2 7.87482 4.997500e+00 2.160457e-03 1.664504e+00 -5.999196e+00 -3.357165e+00 -3.830402e+00
093924.0 8.24911 4.997519e+00 2.195357e-03 1.630221e+00 -5.840471e+00 -3.347762e+00 -3.686552e+00
093932.9 8.62506 4.997487e+00 2.219995e-03 1.615655e+00 -5.683541e+00 -3.345135e+00 -3.551178e+00
093941.4 8.99948 4.997558e+00 2.202951e-03 1.591750e+00 -5.562386e+00 -3.356828e+00 -3.439214e+00
093951.7 9.37465 4.997506e+00 2.195894e-03 1.580781e+00 -5.426162e+00 -3.345212e+00 -3.304831e+00
094000.5 9.74914 4.997539e+00 2.196278e-03 1.607996e+00 -5.288204e+00 -3.346485e+00 -3.174585e+00
094008.4 10.1249 4.997512e+00 2.165209e-03 1.651972e+00 -5.146787e+00 -3.329750e+00 -3.039574e+00
094016.6 10.4999 4.997486e+00 2.119896e-03 1.655501e+00 -5.026555e+00 -3.311577e+00 -2.922520e+00
094028.2 10.8748 4.997497e+00 2.100310e-03 1.664986e+00 -4.916271e+00 -3.320675e+00 -2.818491e+00
094041.1 11.2494 4.997518e+00 2.122360e-03 1.666050e+00 -4.748600e+00 -3.314171e+00 -2.665965e+00
094050.1 11.6247 4.997525e+00 2.153944e-03 1.646321e+00 -4.600866e+00 -3.326574e+00 -2.534238e+00
094105.8 12.0001 4.997500e+00 2.164207e-03 1.642116e+00 -4.487002e+00 -3.325341e+00 -2.432030e+00
094119.4 12.3744 4.997527e+00 2.172540e-03 1.653237e+00 -4.372830e+00 -3.313640e+00 -2.322515e+00
094128.3 12.7499 4.997499e+00 2.193818e-03 1.658993e+00 -4.233602e+00 -3.312140e+00 -2.194621e+00
094135.9 13.1248 4.997504e+00 2.219433e-03 1.665964e+00 -4.111675e+00 -3.307729e+00 -2.073596e+00
094143.8 13.4996 4.997516e+00 2.228779e-03 1.676574e+00 -3.988477e+00 -3.305168e+00 -1.960793e+00
094155.5 13.8746 4.997510e+00 2.229132e-03 1.669270e+00 -3.850716e+00 -3.300918e+00 -1.842655e+00
094204.0 14.2492 4.997526e+00 2.248787e-03 1.661902e+00 -3.721864e+00 -3.315089e+00 -1.710711e+00
094212.2 14.6245 4.997518e+00 2.279686e-03 1.671767e+00 -3.586308e+00 -3.312882e+00 -1.594823e+00
094224.8 14.9998 4.997476e+00 2.300398e-03 1.672163e+00 -3.476719e+00 -3.299913e+00 -1.487649e+00
094238.7 15.3745 4.997511e+00 2.332885e-03 1.659543e+00 -3.358887e+00 -3.294601e+00 -1.376258e+00
094251.7 15.7494 4.997494e+00 2.377295e-03 1.673358e+00 -3.206707e+00 -3.294377e+00 -1.241414e+00
094302.7 16.125 4.997508e+00 2.409311e-03 1.678512e+00 -3.077246e+00 -3.302099e+00 -1.126664e+00
094311.2 16.4993 4.997499e+00 2.425549e-03 1.671684e+00 -2.977935e+00 -3.306014e+00 -1.023110e+00
094323.1 16.8747 4.997526e+00 2.455520e-03 1.669651e+00 -2.867819e+00 -3.310204e+00 -9.232325e-01
094334.7 17.2499 4.997478e+00 2.498071e-03 1.680866e+00 -2.730958e+00 -3.301493e+00 -7.937852e-01
094343.2 17.6247 4.997506e+00 2.511401e-03 1.677910e+00 -2.606529e+00 -3.303648e+00 -6.662035e-01
094354.1 18.0002 4.997514e+00 2.508433e-03 1.682288e+00 -2.518975e+00 -3.300609e+00 -5.713337e-01
094404.7 18.375 4.997506e+00 2.513586e-03 1.691817e+00 -2.399075e+00 -3.289383e+00 -4.664265e-01
094413.6 18.7493 4.997526e+00 2.523898e-03 1.680780e+00 -2.263843e+00 -3.299915e+00 -3.529067e-01
094422.8 19.1255 4.997509e+00 2.517286e-03 1.670248e+00 -2.142983e+00 -3.303537e+00 -2.467907e-01
094431.3 19.4998 4.997498e+00 2.457384e-03 1.689981e+00 -2.061195e+00 -3.298980e+00 -1.620182e-01
094439.6 19.8745 4.997518e+00 2.370807e-03 1.721685e+00 -1.970013e+00 -3.281884e+00 -7.723776e-02
094447.4 20.2499 4.997510e+00 2.294817e-03 1.728667e+00 -1.857080e+00 -3.272441e+00 3.802886e-02
094455.9 20.6249 4.997501e+00 2.245172e-03 1.732609e+00 -1.742688e+00 -3.259912e+00 1.467879e-01
094505.8 21.0002 4.997540e+00 2.207768e-03 1.729044e+00 -1.642620e+00 -3.254460e+00 2.244100e-01
094519.4 21.3748 4.997520e+00 2.188894e-03 1.734274e+00 -1.552793e+00 -3.263249e+00 3.046888e-01
094528.0 21.7496 4.997514e+00 2.174849e-03 1.732665e+00 -1.429586e+00 -3.259573e+00 4.203541e-01
094536.6 22.1243 4.997480e+00 2.152451e-03 1.746295e+00 -1.317534e+00 -3.248205e+00 5.219422e-01
094548.2 22.4998 4.997491e+00 2.119626e-03 1.761853e+00 -1.225533e+00 -3.241597e+00 6.104341e-01
094600.5 22.8748 4.997534e+00 2.101132e-03 1.760149e+00 -1.131886e+00 -3.236431e+00 7.014064e-01
094608.3 23.2492 4.997519e+00 2.105422e-03 1.763680e+00 -1.026850e+00 -3.234059e+00 8.072564e-01
094617.5 23.625 4.997533e+00 2.101069e-03 1.765447e+00 -9.166053e-01 -3.237441e+00 8.977071e-01
094625.7 23.9997 4.997517e+00 2.087170e-03 1.756177e+00 -8.304055e-01 -3.235294e+00 9.699979e-01
094636.0 24.3749 4.997494e+00 2.070631e-03 1.768058e+00 -7.270096e-01 -3.230882e+00 1.055030e+00
094644.2 24.7499 4.997516e+00 2.054395e-03 1.778636e+00 -6.140956e-01 -3.225157e+00 1.169008e+00
094652.4 25.1248 4.997554e+00 2.041012e-03 1.781132e+00 -5.017801e-01 -3.211692e+00 1.266287e+00
094700.6 25.4996 4.997478e+00 2.027300e-03 1.784395e+00 -4.325593e-01 -3.204752e+00 1.338800e+00
094712.9 25.8747 4.997508e+00 2.021399e-03 1.787808e+00 -3.497800e-01 -3.207563e+00 1.415935e+00
094724.8 26.2499 4.997524e+00 2.030871e-03 1.788858e+00 -2.301860e-01 -3.205632e+00 1.514569e+00
094735.7 26.6247 4.997549e+00 2.035528e-03 1.780822e+00 -1.213535e-01 -3.207331e+00 1.604274e+00
094744.9 27.0004 4.997500e+00 2.020629e-03 1.797059e+00 -4.486192e-02 -3.199421e+00 1.673540e+00
094759.3 27.3746 4.997523e+00 2.000415e-03 1.808505e+00 3.841589e-02 -3.186270e+00 1.755746e+00
094813.3 27.7497 4.997500e+00 1.989422e-03 1.801260e+00 1.432871e-01 -3.179890e+00 1.854377e+00
094821.2 28.1247 4.997536e+00 1.973865e-03 1.812111e+00 2.420646e-01 -3.178650e+00 1.946770e+00
