% Fogale DL Rail Calibration results.
% DL=6, Date=2016-03-11T09:04:01
% Tunnel Temperature=17.88 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=che
% Comment=
% WPS-Sensor tunnel center: WPS-7D6-001
% WPS-Sensor tunnel end: WPS-7D6-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
090700.9 1.12504 4.997457e+00 2.634083e-03 1.847383e+00 -8.882066e+00 -3.103096e+00 -6.510921e+00
090711.8 1.49991 4.997453e+00 2.538212e-03 1.851136e+00 -8.785167e+00 -3.114316e+00 -6.345031e+00
090722.7 1.87459 4.997437e+00 2.430628e-03 1.869509e+00 -8.679140e+00 -3.138423e+00 -6.190680e+00
090731.2 2.25009 4.997434e+00 2.344318e-03 1.886992e+00 -8.488276e+00 -3.138903e+00 -5.977950e+00
090740.3 2.6247 4.997436e+00 2.292592e-03 1.962992e+00 -8.397353e+00 -3.169088e+00 -5.833264e+00
090748.8 2.99995 4.997448e+00 2.260514e-03 1.976068e+00 -8.260940e+00 -3.185944e+00 -5.680629e+00
090802.5 3.37376 4.997443e+00 2.254215e-03 1.992222e+00 -8.118302e+00 -3.236973e+00 -5.550742e+00
090814.4 3.7499 4.997438e+00 2.270702e-03 1.979913e+00 -7.938239e+00 -3.283412e+00 -5.393862e+00
090823.0 4.12483 4.997455e+00 2.263355e-03 1.957393e+00 -7.780030e+00 -3.315854e+00 -5.250862e+00
090830.8 4.49995 4.997472e+00 2.232726e-03 1.907544e+00 -7.629727e+00 -3.357082e+00 -5.113911e+00
090846.5 4.87507 4.997431e+00 2.210433e-03 1.847417e+00 -7.472976e+00 -3.374755e+00 -4.974238e+00
090908.0 5.23946 4.997447e+00 2.212603e-03 1.813659e+00 -7.210952e+00 -3.354846e+00 -4.785365e+00
090921.9 5.62481 4.997448e+00 2.212685e-03 1.808261e+00 -7.013127e+00 -3.357695e+00 -4.645186e+00
090930.5 5.99955 4.997441e+00 2.184580e-03 1.811280e+00 -6.855171e+00 -3.345485e+00 -4.527174e+00
090943.2 6.37446 4.997434e+00 2.168929e-03 1.800309e+00 -6.654778e+00 -3.346904e+00 -4.388092e+00
090957.5 6.74933 4.997438e+00 2.164095e-03 1.755316e+00 -6.437049e+00 -3.347397e+00 -4.221220e+00
091007.7 7.12451 4.997450e+00 2.151996e-03 1.757778e+00 -6.284841e+00 -3.362571e+00 -4.084069e+00
091020.3 7.49951 4.997425e+00 2.146046e-03 1.716675e+00 -6.114398e+00 -3.355700e+00 -3.947317e+00
091032.6 7.87482 4.997461e+00 2.156226e-03 1.655900e+00 -5.984526e+00 -3.353095e+00 -3.825806e+00
091044.9 8.25007 4.997459e+00 2.192867e-03 1.625261e+00 -5.833431e+00 -3.342533e+00 -3.681588e+00
091054.4 8.62462 4.997448e+00 2.216002e-03 1.616242e+00 -5.687318e+00 -3.354264e+00 -3.557841e+00
