% Fogale DL Rail Calibration results.
% DL=6, Date=2016-03-23T08:41:52
% Tunnel Temperature=17.89 oC
% Scan Range: 1.125 - 118.875 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-001
% WPS-Sensor tunnel end: WPS-7D6-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
084257.0 1.12498 4.997456e+00 2.632746e-03 1.859355e+00 -8.916550e+00 -3.126136e+00 -6.547865e+00
084307.9 1.49966 4.997484e+00 2.535836e-03 1.868055e+00 -8.836221e+00 -3.140352e+00 -6.391553e+00
084318.2 1.87452 4.997486e+00 2.427711e-03 1.877364e+00 -8.706876e+00 -3.150307e+00 -6.214336e+00
084328.8 2.24984 4.997477e+00 2.344513e-03 1.917598e+00 -8.569214e+00 -3.166948e+00 -6.034490e+00
084337.3 2.62407 4.997494e+00 2.292992e-03 1.968648e+00 -8.415582e+00 -3.177494e+00 -5.856378e+00
084346.2 2.99989 4.997461e+00 2.260676e-03 1.982579e+00 -8.285024e+00 -3.197049e+00 -5.708842e+00
084358.8 3.37497 4.997478e+00 2.254463e-03 2.000093e+00 -8.140142e+00 -3.239666e+00 -5.571493e+00
084410.4 3.74997 4.997478e+00 2.269072e-03 1.990304e+00 -7.969141e+00 -3.285569e+00 -5.416404e+00
084418.6 4.12477 4.997484e+00 2.257309e-03 1.961769e+00 -7.797155e+00 -3.319079e+00 -5.271232e+00
084426.8 4.50021 4.997479e+00 2.222032e-03 1.915986e+00 -7.653236e+00 -3.358429e+00 -5.131480e+00
084439.1 4.87425 4.997497e+00 2.192615e-03 1.854918e+00 -7.491743e+00 -3.377967e+00 -4.991813e+00
084451.8 5.24905 4.997516e+00 2.194449e-03 1.837788e+00 -7.268066e+00 -3.382237e+00 -4.822253e+00
084506.4 5.62487 4.997504e+00 2.195147e-03 1.824259e+00 -7.061780e+00 -3.367186e+00 -4.670056e+00
084520.0 5.9998 4.997497e+00 2.174830e-03 1.823056e+00 -6.879848e+00 -3.355785e+00 -4.548191e+00
084530.3 6.37465 4.997471e+00 2.158921e-03 1.811338e+00 -6.690904e+00 -3.354360e+00 -4.410060e+00
084544.2 6.74958 4.997492e+00 2.158435e-03 1.772921e+00 -6.495966e+00 -3.366627e+00 -4.257820e+00
084552.1 7.12471 4.997477e+00 2.152441e-03 1.765153e+00 -6.315691e+00 -3.369646e+00 -4.108273e+00
084603.3 7.50002 4.997505e+00 2.147236e-03 1.738181e+00 -6.178765e+00 -3.384459e+00 -3.992681e+00
084616.0 7.87457 4.997497e+00 2.158869e-03 1.673972e+00 -6.039777e+00 -3.372163e+00 -3.862327e+00
084628.6 8.24994 4.997481e+00 2.193660e-03 1.645599e+00 -5.889805e+00 -3.368342e+00 -3.723344e+00
084636.8 8.62468 4.997490e+00 2.214559e-03 1.627910e+00 -5.729458e+00 -3.368183e+00 -3.587060e+00
