% Fogale DL Rail Calibration results.
% DL=6, Date=2016-03-23T09:36:09
% Tunnel Temperature=17.94 oC
% Scan Range: 118.875 - 1.125 mOPL
% Metrology used: ENCODERS
% Sensors: CALIBRATED
% Name=NSC
% Comment=not executed at night
% WPS-Sensor tunnel center: WPS-7D6-001
% WPS-Sensor tunnel end: WPS-7D6-002
% DOMS-Sensor: DOM-7D2-003 S-330
% INCLINOMETER-Sensor: Inclinix
% TIMESTAMP[hhmmss.s] OPL-POSITION[m] DOMS[mm] INCL[rad] WPSTctrY[mm] WPSTctrZ[mm] WPSTendY[mm] WPSTendZ[mm]
093614.4 118.874 4.997500e+00 1.972831e-03 2.573062e+00 -4.432411e+00 -2.420134e+00 -4.630787e+00
093622.6 118.5 4.997506e+00 2.093345e-03 2.567672e+00 -4.286083e+00 -2.403440e+00 -4.527092e+00
093630.5 118.125 4.997513e+00 2.191177e-03 2.555236e+00 -4.142303e+00 -2.416670e+00 -4.435119e+00
093643.8 117.751 4.997474e+00 2.218426e-03 2.537108e+00 -4.019713e+00 -2.398540e+00 -4.281578e+00
093652.4 117.375 4.997518e+00 2.202691e-03 2.558377e+00 -3.901862e+00 -2.391822e+00 -4.151393e+00
093704.3 117 4.997522e+00 2.192280e-03 2.559629e+00 -3.767916e+00 -2.405333e+00 -4.005518e+00
093712.5 116.625 4.997514e+00 2.195349e-03 2.554706e+00 -3.623717e+00 -2.386779e+00 -3.845015e+00
093720.7 116.25 4.997516e+00 2.188870e-03 2.548372e+00 -3.509596e+00 -2.391468e+00 -3.722086e+00
093728.5 115.875 4.997514e+00 2.199622e-03 2.555596e+00 -3.411970e+00 -2.394326e+00 -3.612997e+00
093737.1 115.5 4.997511e+00 2.242089e-03 2.541950e+00 -3.272626e+00 -2.410928e+00 -3.482047e+00
093744.6 115.125 4.997479e+00 2.269127e-03 2.528355e+00 -3.135573e+00 -2.409982e+00 -3.336972e+00
093758.3 114.751 4.997520e+00 2.259101e-03 2.543991e+00 -3.018305e+00 -2.405487e+00 -3.219455e+00
093807.1 114.375 4.997528e+00 2.251553e-03 2.541399e+00 -2.903600e+00 -2.401984e+00 -3.097866e+00
093817.0 114 4.997515e+00 2.259746e-03 2.534422e+00 -2.762296e+00 -2.409848e+00 -2.964405e+00
093825.9 113.626 4.997501e+00 2.271457e-03 2.536979e+00 -2.632744e+00 -2.404142e+00 -2.824377e+00
093834.1 113.25 4.997487e+00 2.252584e-03 2.534010e+00 -2.536512e+00 -2.403608e+00 -2.704162e+00
093842.3 112.875 4.997512e+00 2.220909e-03 2.507366e+00 -2.450913e+00 -2.408836e+00 -2.589747e+00
093850.5 112.5 4.997484e+00 2.202077e-03 2.508231e+00 -2.342383e+00 -2.412460e+00 -2.469934e+00
093858.0 112.125 4.997524e+00 2.207056e-03 2.517624e+00 -2.222430e+00 -2.409515e+00 -2.334602e+00
093906.9 111.75 4.997504e+00 2.204470e-03 2.509691e+00 -2.118041e+00 -2.410039e+00 -2.230016e+00
093916.2 111.375 4.997490e+00 2.189717e-03 2.511295e+00 -2.016222e+00 -2.408469e+00 -2.124314e+00
093924.8 111 4.997521e+00 2.182122e-03 2.514129e+00 -1.885360e+00 -2.413237e+00 -1.999286e+00
093933.3 110.626 4.997508e+00 2.171001e-03 2.507370e+00 -1.752510e+00 -2.419410e+00 -1.862122e+00
093941.8 110.25 4.997504e+00 2.128992e-03 2.616086e+00 -1.656146e+00 -2.418445e+00 -1.752059e+00
093950.3 109.875 4.997497e+00 2.086505e-03 2.494925e+00 -1.570157e+00 -2.417416e+00 -1.641527e+00
093957.9 109.5 4.997513e+00 2.052755e-03 2.504317e+00 -1.462812e+00 -2.419218e+00 -1.516858e+00
094006.1 109.125 4.997520e+00 2.031967e-03 2.501131e+00 -1.341642e+00 -2.419525e+00 -1.390204e+00
094015.3 108.75 4.997521e+00 2.022255e-03 2.502932e+00 -1.252727e+00 -2.419796e+00 -1.297762e+00
094023.9 108.375 4.997524e+00 2.030141e-03 2.501081e+00 -1.159682e+00 -2.428968e+00 -1.208465e+00
094033.1 108 4.997529e+00 2.040820e-03 2.480083e+00 -1.051185e+00 -2.441893e+00 -1.098641e+00
094041.3 107.625 4.997504e+00 2.023959e-03 2.469279e+00 -9.339195e-01 -2.440066e+00 -9.823882e-01
094050.0 107.25 4.997534e+00 1.967134e-03 2.488863e+00 -8.470377e-01 -2.432447e+00 -8.861086e-01
094058.5 106.875 4.997522e+00 1.898873e-03 2.493626e+00 -7.622235e-01 -2.417991e+00 -7.788333e-01
094106.4 106.501 4.997508e+00 1.852499e-03 2.488176e+00 -6.630318e-01 -2.423328e+00 -6.698606e-01
094114.6 106.126 4.997491e+00 1.842907e-03 2.500217e+00 -5.608157e-01 -2.428103e+00 -5.466159e-01
094124.3 105.75 4.997507e+00 1.837139e-03 2.487251e+00 -4.753706e-01 -2.437505e+00 -4.416863e-01
094134.5 105.375 4.997522e+00 1.816692e-03 2.469363e+00 -3.912161e-01 -2.445721e+00 -3.580997e-01
094145.1 104.999 4.997521e+00 1.793122e-03 2.480873e+00 -2.923985e-01 -2.444510e+00 -2.505403e-01
094153.9 104.625 4.997503e+00 1.768830e-03 2.478243e+00 -1.852522e-01 -2.447908e+00 -1.405165e-01
094202.1 104.25 4.997548e+00 1.719104e-03 2.481359e+00 -1.072580e-01 -2.440949e+00 -5.164909e-02
094210.6 103.875 4.997491e+00 1.662189e-03 2.485147e+00 -2.655620e-02 -2.437193e+00 3.748725e-02
094218.5 103.5 4.997539e+00 1.629715e-03 2.489277e+00 7.383894e-02 -2.446463e+00 1.425889e-01
094227.1 103.125 4.997522e+00 1.614870e-03 2.478600e+00 1.822245e-01 -2.451229e+00 2.505076e-01
094237.3 102.75 4.997532e+00 1.589117e-03 2.466015e+00 2.577739e-01 -2.449488e+00 3.385597e-01
094246.2 102.375 4.997517e+00 1.553562e-03 2.492109e+00 3.287141e-01 -2.448189e+00 4.239964e-01
094256.7 102 4.997510e+00 1.531081e-03 2.494305e+00 4.229296e-01 -2.452731e+00 5.238380e-01
094306.3 101.625 4.997507e+00 1.527618e-03 2.480905e+00 5.291703e-01 -2.445173e+00 6.251442e-01
094314.1 101.251 4.997510e+00 1.531847e-03 2.481801e+00 6.088020e-01 -2.448826e+00 7.109067e-01
094322.3 100.875 4.997539e+00 1.525928e-03 2.479158e+00 6.814665e-01 -2.461753e+00 7.916606e-01
094330.2 100.501 4.997524e+00 1.528884e-03 2.459012e+00 7.701986e-01 -2.464703e+00 8.898432e-01
094341.2 100.125 4.997494e+00 1.532859e-03 2.460941e+00 8.663622e-01 -2.472792e+00 9.960577e-01
094350.1 99.7497 4.997507e+00 1.546610e-03 2.461325e+00 9.366546e-01 -2.476952e+00 1.082632e+00
094358.3 99.3752 4.997513e+00 1.562760e-03 2.459035e+00 1.001651e+00 -2.484494e+00 1.165413e+00
094407.3 99.0008 4.997514e+00 1.589432e-03 2.460565e+00 1.102896e+00 -2.481864e+00 1.267424e+00
094416.5 98.6256 4.997515e+00 1.619228e-03 2.451121e+00 1.212049e+00 -2.487467e+00 1.370133e+00
094425.7 98.25 4.997489e+00 1.640280e-03 2.436465e+00 1.287743e+00 -2.498374e+00 1.448630e+00
094434.5 97.875 4.997533e+00 1.649303e-03 2.423188e+00 1.352320e+00 -2.503678e+00 1.525020e+00
094443.0 97.5005 4.997497e+00 1.682053e-03 2.427741e+00 1.431143e+00 -2.511074e+00 1.624091e+00
094450.9 97.1255 4.997517e+00 1.711132e-03 2.432358e+00 1.522597e+00 -2.520175e+00 1.730027e+00
094500.1 96.7502 4.997509e+00 1.706332e-03 2.423721e+00 1.588294e+00 -2.515389e+00 1.811266e+00
094509.6 96.3749 4.997479e+00 1.709597e-03 2.423499e+00 1.648745e+00 -2.518958e+00 1.882059e+00
094519.5 95.9997 4.997499e+00 1.719553e-03 2.421144e+00 1.733362e+00 -2.533244e+00 1.970813e+00
094527.7 95.6253 4.997538e+00 1.718375e-03 2.399074e+00 1.824047e+00 -2.536145e+00 2.061385e+00
094535.9 95.2502 4.997533e+00 1.686572e-03 2.403600e+00 1.882659e+00 -2.540604e+00 2.131160e+00
094545.1 94.8739 4.997497e+00 1.620794e-03 2.409835e+00 1.929830e+00 -2.537387e+00 2.187247e+00
094553.3 94.4999 4.997493e+00 1.534672e-03 2.425199e+00 2.000825e+00 -2.536427e+00 2.271505e+00
094604.2 94.1251 4.997536e+00 1.519668e-03 2.409028e+00 2.080428e+00 -2.528492e+00 2.364826e+00
094612.7 93.7502 4.997518e+00 1.496176e-03 2.417976e+00 2.144343e+00 -2.536965e+00 2.433775e+00
094623.0 93.3744 4.997500e+00 1.462832e-03 2.403204e+00 2.197916e+00 -2.539135e+00 2.492550e+00
094632.6 93.0004 4.997527e+00 1.437917e-03 2.393749e+00 2.272893e+00 -2.542778e+00 2.565594e+00
094641.1 92.625 4.997500e+00 1.415762e-03 2.402497e+00 2.345524e+00 -2.546174e+00 2.648424e+00
094649.6 92.2501 4.997514e+00 1.385092e-03 2.414395e+00 2.398080e+00 -2.546984e+00 2.712566e+00
094657.8 91.8747 4.997507e+00 1.363798e-03 2.414565e+00 2.443820e+00 -2.535933e+00 2.766225e+00
094706.7 91.4998 4.997499e+00 1.379615e-03 2.412227e+00 2.511338e+00 -2.543408e+00 2.841003e+00
094714.9 91.1253 4.997534e+00 1.410925e-03 2.408704e+00 2.589642e+00 -2.556588e+00 2.936902e+00
094723.9 90.7503 4.997519e+00 1.429206e-03 2.387633e+00 2.641728e+00 -2.561303e+00 2.992504e+00
094733.1 90.3748 4.997512e+00 1.431168e-03 2.386023e+00 2.701875e+00 -2.572570e+00 3.057242e+00
094741.9 90.0001 4.997475e+00 1.438331e-03 2.394475e+00 2.770679e+00 -2.573109e+00 3.127628e+00
094754.5 89.6249 4.997529e+00 1.433763e-03 2.386713e+00 2.843927e+00 -2.572167e+00 3.206959e+00
094802.4 89.2504 4.997517e+00 1.400179e-03 2.374624e+00 2.887047e+00 -2.563246e+00 3.262703e+00
094812.6 88.8748 4.997512e+00 1.359177e-03 2.389025e+00 2.917650e+00 -2.564800e+00 3.316328e+00
094820.8 88.5002 4.997502e+00 1.356640e-03 2.378477e+00 2.984437e+00 -2.578899e+00 3.387276e+00
094831.4 88.1249 4.997506e+00 1.370844e-03 2.355003e+00 3.060230e+00 -2.580764e+00 3.469744e+00
094840.3 87.7505 4.997534e+00 1.395910e-03 2.366750e+00 3.104459e+00 -2.590795e+00 3.524682e+00
094849.1 87.3747 4.997513e+00 1.418263e-03 2.363929e+00 3.143846e+00 -2.590372e+00 3.573144e+00
094858.7 87.0001 4.997491e+00 1.458112e-03 2.367898e+00 3.207054e+00 -2.589920e+00 3.644646e+00
094907.9 86.6254 4.997539e+00 1.499402e-03 2.360986e+00 3.275394e+00 -2.597307e+00 3.709945e+00
094916.4 86.2501 4.997532e+00 1.504862e-03 2.359206e+00 3.309042e+00 -2.603384e+00 3.760283e+00
094924.3 85.8752 4.997517e+00 1.483729e-03 2.343937e+00 3.361075e+00 -2.604480e+00 3.805848e+00
094932.8 85.5004 4.997523e+00 1.474044e-03 2.331533e+00 3.414511e+00 -2.613176e+00 3.881077e+00
094940.3 85.1257 4.997492e+00 1.484567e-03 2.372764e+00 3.515367e+00 -2.614742e+00 3.950922e+00
